dataset,seed,reference_found,historical_path,historical_mba_act_f1,current_mba_core_act_f1,delta_repro,abs_delta_repro
cricket,3,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/cricket/s3_lraes_safe/final_results.csv,0.9860139860139862,0.9581390831390832,-0.027874902874902907,0.027874902874902907
epilepsy,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/epilepsy/s1_lraes_safe/final_results.csv,0.9229364862182016,0.9717806041335452,0.0488441179153436,0.0488441179153436
epilepsy,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/epilepsy/s2_lraes_safe/final_results.csv,0.9636376169902788,0.9779508527367592,0.014313235746480357,0.014313235746480357
epilepsy,3,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/epilepsy/s3_lraes_safe/final_results.csv,0.9709217843885812,0.9858903020667726,0.014968517678191406,0.014968517678191406
ering,1,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ering/s1_lraes_safe/final_results.csv,,0.7867756399413685,,
ering,2,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ering/s2_lraes_safe/final_results.csv,,0.8121985846071212,,
ering,3,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ering/s3_lraes_safe/final_results.csv,,0.6360857686571165,,
ethanolconcentration,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ethanolconcentration/s1_lraes_safe/final_results.csv,0.2868770639635989,0.2186343539856335,-0.06824270997796542,0.06824270997796542
ethanolconcentration,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ethanolconcentration/s2_lraes_safe/final_results.csv,0.2281086474180754,0.269703237384496,0.04159458996642057,0.04159458996642057
ethanolconcentration,3,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/ethanolconcentration/s3_lraes_safe/final_results.csv,0.2724073853941069,0.2704324617096575,-0.0019749236844494034,0.0019749236844494034
fingermovements,1,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/fingermovements/s1_lraes_safe/final_results.csv,,0.4699469946994699,,
fingermovements,2,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/fingermovements/s2_lraes_safe/final_results.csv,,0.5463252343986289,,
fingermovements,3,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/fingermovements/s3_lraes_safe/final_results.csv,,0.5015766453056658,,
handmovementdirection,1,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/handmovementdirection/s1_lraes_safe/final_results.csv,0.3444801441588467,0.300586622679646,-0.043893521479200726,0.043893521479200726
handmovementdirection,2,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/paper_matrix_v2_final/phase_all/resnet1d/handmovementdirection/s2_lraes_safe/final_results.csv,0.282247150997151,0.2271320633389598,-0.055115087658191175,0.055115087658191175
