dataset,arm,n,mean_f1,std_f1,mean_gain,std_gain
ethanolconcentration,rc4_osf,3,0.25805428043703144,0.03461010354050069,-0.02109941466839647,0.011719353106749321
fingermovements,baseline_ce,3,0.4806203341936231,0.049318627911133894,0.0,0.0
fingermovements,mba_core_lraes,3,0.5059496248012548,0.03837643921909873,0.025329290607631765,0.026474979012313476
fingermovements,mba_feedback_lraes,3,0.4920178775893887,0.013578248867499976,0.011397543395765666,0.057138557407378644
fingermovements,rc4_osf,3,0.5096443880748128,0.028615195015689748,0.0290240538811898,0.04524089666784023
handmovementdirection,baseline_ce,3,0.20969127456801664,0.02607862947467379,0.0,0.0
handmovementdirection,mba_core_lraes,3,0.2951664327545012,0.06549270705143669,0.08547515818648453,0.07581885639516568
handmovementdirection,mba_feedback_lraes,3,0.203064845090696,0.05234544095183281,-0.006626429477320633,0.03654371860023079
handmovementdirection,rc4_osf,3,0.2268662682860535,0.1116903659318558,0.0171749937180368,0.08786792376714253
handwriting,baseline_ce,3,0.40010001768777625,0.015811578274291603,0.0,0.0
handwriting,mba_core_lraes,3,0.4666066839969773,0.018852372234964904,0.06650666630920093,0.031595780562064586
handwriting,mba_feedback_lraes,3,0.3901462255726919,0.0698367502678585,-0.009953792115084398,0.07755986906344058
handwriting,rc4_osf,3,0.39277366638397987,0.07747564543814504,-0.0073263513037963995,0.06819313855338968
har,baseline_ce,3,0.9348949434714856,0.0006228747812612752,0.0,0.0
har,mba_core_lraes,3,0.9524599756167369,0.004907155596661125,0.017565032145251364,0.0049831494189332024
har,mba_feedback_lraes,3,0.9351417628639331,0.011318473759133836,0.0002468193924475668,0.010701701957315315
har,rc4_osf,3,0.9324699592073694,0.0023447583485093453,-0.002424984264116104,0.0026826687347566314
heartbeat,baseline_ce,3,0.6530270182885037,0.01673649152957013,0.0,0.0
heartbeat,mba_core_lraes,3,0.6295510260623881,0.07265134824311922,-0.02347599222611553,0.06913394787475219
heartbeat,mba_feedback_lraes,3,0.6151742413362197,0.05325853776462728,-0.0378527769522839,0.03687512946712463
heartbeat,rc4_osf,3,0.6153883818741495,0.052906050890907795,-0.03763863641435413,0.03672310321939036
japanesevowels,baseline_ce,3,0.9661509590323788,0.009167563041868563,0.0,0.0
japanesevowels,mba_core_lraes,3,0.9869551751517734,0.006725246555717374,0.0208042161193944,0.01567762623615917
japanesevowels,mba_feedback_lraes,3,0.980985460725257,0.003901977398650956,0.014834501692878,0.013055717990158975
japanesevowels,rc4_osf,3,0.9783937366454412,0.015244951155587563,0.012242777613062167,0.022471456933486848
libras,baseline_ce,3,0.5604970086490186,0.47026135162447846,0.0,0.0
libras,mba_core_lraes,3,0.9043082895103551,0.05385961519385086,0.34381128086133655,0.5241176924582726
libras,mba_feedback_lraes,3,0.8534034087992847,0.05949024927297688,0.2929064001502662,0.5290233983717677
libras,rc4_osf,3,0.8860302101492034,0.02535104759184251,0.32553320150018467,0.4912970142363631
motorimagery,baseline_ce,3,0.436153208624094,0.05260533084918069,0.0,0.0
motorimagery,mba_core_lraes,3,0.43632710335615266,0.0800969197777447,0.00017389473205863445,0.08620399461219619
motorimagery,mba_feedback_lraes,3,0.44531621329127374,0.0754532570502531,0.009163004667179701,0.035487272137077704
motorimagery,rc4_osf,3,0.4616276393794935,0.08317511903718824,0.0254744307553995,0.06608182583472912
natops,baseline_ce,3,0.9216425322831762,0.01515792484574601,0.0,0.0
natops,mba_core_lraes,3,0.9661931507992642,0.017039455497948743,0.0445506185160878,0.02740822387208364
natops,mba_feedback_lraes,3,0.957090061841865,0.014286206033004742,0.03544752955868873,0.016887013778474624
natops,rc4_osf,3,0.9562932852036793,0.022898205144307945,0.03465075292050306,0.015094350238263575
pendigits,baseline_ce,3,0.9830244122278083,0.0023534657348120956,0.0,0.0
pendigits,mba_core_lraes,3,0.9874479498101292,0.0027857231951159958,0.0044235375823208,0.0007213592426347444
pendigits,mba_feedback_lraes,3,0.9891270560422395,0.0027144271978292904,0.006102643814431201,0.0049601550456427135
pendigits,rc4_osf,3,0.9815426817199393,0.002611035611125655,-0.0014817305078690332,0.004850124241530213
racketsports,baseline_ce,3,0.8696074996720241,0.013229632397157158,0.0,0.0
racketsports,mba_core_lraes,3,0.8882678810488659,0.019713566946777863,0.0186603813768417,0.011682134424036492
racketsports,mba_feedback_lraes,3,0.8734728544918031,0.008798472953940676,0.003865354819778967,0.007268156578397486
racketsports,rc4_osf,3,0.8686106736922611,0.015972207603368014,-0.0009968259797630333,0.0220013244126543
selfregulationscp2,baseline_ce,3,0.45074054270119185,0.06325142551824281,0.0,0.0
selfregulationscp2,mba_core_lraes,3,0.4639236200975001,0.0574962199007446,0.013183077396308265,0.11911204199584484
selfregulationscp2,mba_feedback_lraes,3,0.46399563626379353,0.05945557778785432,0.013255093562601702,0.013179799495692266
selfregulationscp2,rc4_osf,3,0.49402328006325763,0.04871152121096764,0.043282737362065865,0.0837542388746651
uwavegesturelibrary,baseline_ce,3,0.7093520964994626,0.04425760834772009,0.0,0.0
uwavegesturelibrary,mba_core_lraes,3,0.7705063103845049,0.03931182037021387,0.06115421388504233,0.019181183783921075
uwavegesturelibrary,mba_feedback_lraes,3,0.7578866287073739,0.040937546772899736,0.04853453220791137,0.0034451861175765646
uwavegesturelibrary,rc4_osf,3,0.7414074927331264,0.07458188734729533,0.03205539623366397,0.0348837751588594
