anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
125,natops_train_120,2,0,2,-1.0,0.1,0.1,1.0,2.297572563349517,0.99999999999,4.595145126703629,lraes,lraes,0.0004439564571110666,4.186608571587132,1.1166723616190841,0.21089091669713517,3.011043071746826,0.9530705299446903
77,natops_train_121,0,0,3,1.0,0.1,0.1,1.0,2.628859282376254,0.99999999999,5.257718564757766,lraes,lraes,0.00044582960015940716,3.922373681376834,1.2910537871192902,0.4243319072771374,3.590186357498169,0.973147751390656
98,natops_train_122,2,0,8,1.0,0.1,0.1,1.0,2.068163973692665,0.99999999999,4.136327947389467,lraes,lraes,0.00044872075907413287,4.849193235034001,1.4089810970551588,0.5249647967957529,3.180972099304199,0.9601119112184618
20,natops_train_124,0,0,2,1.0,0.1,0.1,1.0,2.407786810603535,0.99999999999,4.815573621211886,lraes,lraes,0.0004413226946962223,4.127914053640362,1.2020692301493647,0.30488741966522304,4.4364914894104,0.988301087296742
102,natops_train_126,1,0,7,1.0,0.1,0.1,1.0,2.198211321612358,0.99999999999,4.396422643229113,lraes,lraes,0.00044697438913150246,4.182128123045165,1.342978696093103,0.4762728992989681,2.4072155952453613,0.9173758764153503
61,natops_train_127,0,0,1,1.0,0.1,0.1,1.0,2.4469553098188634,0.99999999999,4.893910619642622,lraes,lraes,0.0004520957284859447,4.840684978770737,1.4028480368191465,0.5456545548753632,3.0959315299987793,0.9567246123581495
46,natops_train_129,3,0,5,1.0,0.1,0.1,1.0,2.9581685931929753,0.99999999999,5.916337186391868,lraes,lraes,0.0004416977221999552,0.9251508442674389,1.1388840779250138,0.29455180462150554,3.336712598800659,0.9656670177471758
100,natops_train_13,5,0,1,-1.0,0.1,0.1,1.0,3.7117042490637657,0.99999999999,7.423408498134956,lraes,lraes,0.00043803394398855583,1.299197701928353,1.1376688928432683,0.24532616619957845,4.291378974914551,0.9864987392157508
3,natops_train_130,0,0,4,1.0,0.1,0.1,1.0,2.9422256449571873,0.99999999999,5.88445128992026,lraes,lraes,0.00045313255577754836,3.682914376928715,1.4581881623220894,0.6862511602860712,4.126729488372803,0.984120657970485
135,natops_train_131,1,0,1,-1.0,0.1,0.1,1.0,2.2694805226540677,0.99999999999,4.538961045312675,lraes,lraes,0.00044333075981466916,5.133717603444975,1.4221120742651703,0.5155728525286865,2.2766573429107666,0.90692527063824
26,natops_train_132,4,0,8,-1.0,0.1,0.1,1.0,2.9861502117917786,0.99999999999,5.97230042358953,lraes,lraes,0.0004433292944995426,1.2147195394992345,1.2568339401414066,0.38419991350808025,1.4036897420883179,0.802768742139722
9,natops_train_133,5,0,9,-1.0,0.1,0.1,1.0,3.71652708205458,0.99999999999,7.433054164116594,lraes,lraes,0.00044254048448973127,2.0138053053448184,1.1950856378061108,0.3279131357658173,3.446333885192871,0.969121620987
134,natops_train_134,5,0,1,1.0,0.1,0.1,1.0,3.482103353611624,0.99999999999,6.964206707230213,lraes,lraes,0.00044725137660027496,1.1549840795686068,1.146449697974918,0.2864594975881641,4.1425299644470215,0.9843656955162826
31,natops_train_135,0,0,0,1.0,0.1,0.1,1.0,2.872693222848891,0.99999999999,5.745386445703527,lraes,lraes,0.00044929396271512097,4.613820771823762,1.3157587530472872,0.4589688158263145,3.9565908908843994,0.981230807686193
42,natops_train_136,5,0,8,1.0,0.1,0.1,1.0,4.253625107531223,0.99999999999,8.507250215070954,lraes,lraes,0.0004471040723103602,1.8278204794442878,1.3043477124640543,0.44975070697632197,3.6853904724121094,0.975526596612294
65,natops_train_137,3,0,1,1.0,0.1,0.1,1.0,3.114809734926838,0.99999999999,6.229619469859907,lraes,lraes,0.0004470746698641084,0.7013143283541348,1.1564854151459885,0.2731423849725411,3.9250259399414062,0.9806405619926053
11,natops_train_138,5,0,9,1.0,0.1,0.1,1.0,4.429260816380725,0.99999999999,8.858521632770309,lraes,lraes,0.0004462702832965393,1.9719216381489608,1.2654163685734356,0.4178573323882516,4.506099224090576,0.9890791356495638
10,natops_train_139,1,0,2,-1.0,0.1,0.1,1.0,2.4914598171669224,0.99999999999,4.9829196343388285,lraes,lraes,0.00044476498326479044,4.380500610875654,1.1742835339672077,0.2804606209856872,1.2422670125961304,0.7759583740959843
53,natops_train_14,2,0,3,-1.0,0.1,0.1,1.0,2.5064714235588084,0.99999999999,5.0129428471226305,lraes,lraes,0.00044391317225854027,4.337860539522752,1.261269627559365,0.3777834536167856,2.3966054916381836,0.9165680887539565
142,natops_train_140,0,0,3,-1.0,0.1,0.1,1.0,2.198211321612358,0.99999999999,4.396422643229113,lraes,lraes,0.0004448956028191494,4.7033663838290485,1.3103452941570948,0.42734058821019166,2.63244366645813,0.9329206352590149
89,natops_train_141,0,0,7,1.0,0.1,0.1,1.0,2.9223102949845248,0.99999999999,5.844620589974895,lraes,lraes,0.0004464721115276527,4.399742773911761,1.2680830644981393,0.44727506785397686,3.593100070953369,0.973223785359784
38,natops_train_142,0,0,0,-1.0,0.1,0.1,1.0,1.8505884617766268,0.99999999999,3.701176923556955,lraes,lraes,0.00044408768197194595,4.970169302634658,1.3186852134822216,0.5102770650476094,3.429004669189453,0.9685988087251085
103,natops_train_143,3,0,8,-1.0,0.1,0.1,1.0,3.1783602738348016,0.99999999999,6.356720547675961,lraes,lraes,0.0004437934474112451,1.4945184080206988,1.2584397764828636,0.4067012789331622,3.60428524017334,0.9735137247715949
37,natops_train_144,0,0,9,1.0,0.1,0.1,1.0,2.5467033902936875,0.99999999999,5.093406780592469,lraes,lraes,0.0004438087434200342,3.8110755947764274,1.1406000143004555,0.2725269576286781,4.535355091094971,0.989390666063308
59,natops_train_146,5,0,6,1.0,0.1,0.1,1.0,3.745277849185239,0.99999999999,7.490555698377969,lraes,lraes,0.000445691641407667,1.568090272102083,1.187619419508233,0.327840329980994,3.3305671215057373,0.965462685083074
110,natops_train_148,1,0,7,1.0,0.1,0.1,1.0,2.087402964966733,0.99999999999,4.174805929937642,lraes,lraes,0.0004450563557680663,4.6026519479064945,1.2648984015803588,0.38396394660129013,-0.07917356491088867,0.480216941790968
104,natops_train_149,5,0,5,-1.0,0.1,0.1,1.0,3.8922165377675104,0.99999999999,7.784433075542806,lraes,lraes,0.00044437770960003556,1.3844985058364319,1.154037508763108,0.29479690092747224,3.3808112144470215,0.9670994263079665
82,natops_train_15,1,0,5,1.0,0.1,0.1,1.0,2.8389126038875787,0.99999999999,5.6778252077808355,lraes,lraes,0.0004430813966949383,3.6693871042717996,1.2641667871723865,0.37733536808909685,-0.019100189208984375,0.49522509786075136
22,natops_train_150,5,0,2,-1.0,0.1,0.1,1.0,3.604386680141288,0.99999999999,7.208773360289785,lraes,lraes,0.00044597801736916376,1.23315006916997,1.2166318822443187,0.35891357618566205,2.9114561080932617,0.9484098564015926
19,natops_train_151,2,0,7,-1.0,0.1,0.1,1.0,2.155675867294129,0.99999999999,4.31135173459257,lraes,lraes,0.0004444364119530542,4.74780129628549,1.3073209428934547,0.40440283052551323,2.430642604827881,0.9191343081744624
48,natops_train_152,4,0,5,-1.0,0.1,0.1,1.0,3.1407586897016815,0.99999999999,6.281517379409645,lraes,lraes,0.0004445621819768692,1.0727356115085442,1.1717121465317235,0.30574072077303305,1.151231288909912,0.759735745028695
35,natops_train_153,4,0,5,-1.0,0.1,0.1,1.0,3.1233492199274386,0.99999999999,6.246698439861125,lraes,lraes,0.00044407728667079764,0.6535119768774761,1.1432839560899395,0.272156682772646,1.2659910917282104,0.780055716610606
14,natops_train_154,0,0,5,-1.0,0.1,0.1,1.0,2.2278306341255156,0.99999999999,4.455661268255487,lraes,lraes,0.0004461504513881281,4.2451377788831355,1.2716191099948326,0.4001855977990244,2.5187835693359375,0.9254481720177066
128,natops_train_156,1,0,8,1.0,0.1,0.1,1.0,2.5351390390092083,0.99999999999,5.070278078023487,lraes,lraes,0.0004453024721732847,4.327978085461973,1.251400180100229,0.36518325622138226,1.4276604652404785,0.8065365273999107
2,natops_train_157,4,0,0,1.0,0.1,0.1,1.0,3.2566502184233332,0.99999999999,6.51330043685318,lraes,lraes,0.00044959566337875515,1.3353928227408944,1.3158967763464227,0.47165235033277697,1.2551357746124268,0.7781876220893656
64,natops_train_158,1,0,7,1.0,0.1,0.1,1.0,2.0124589379029696,0.99999999999,4.024917875809964,lraes,lraes,0.00044540205355391555,4.986008099043789,1.2789078826769538,0.40110996484778366,2.1109132766723633,0.8919593752557256
97,natops_train_159,2,0,5,-1.0,0.1,0.1,1.0,2.386579609556853,0.99999999999,4.77315921911848,lraes,lraes,0.0004461406963173669,3.631530736450682,1.2959089787297187,0.40043883937703856,2.7574806213378906,0.9403344395304902
132,natops_train_16,2,0,7,1.0,0.1,0.1,1.0,2.3453861502174735,0.99999999999,4.690772300439638,lraes,lraes,0.0004480234900098906,3.8690074620813113,1.3885219113386882,0.5206475622025509,1.9928908348083496,0.8800486382492644
18,natops_train_160,2,0,6,1.0,0.1,0.1,1.0,2.5351390390092083,0.99999999999,5.070278078023487,lraes,lraes,0.00044640348834464847,4.1233529339558785,1.2604148034479812,0.3748328216179816,3.946796417236328,0.9810495709563384
78,natops_train_162,1,0,4,-1.0,0.1,0.1,1.0,2.728723860738269,0.99999999999,5.457447721481996,lraes,lraes,0.00045358126669607185,5.002398448166188,1.609434869885662,0.7564412054758611,1.9152790307998657,0.8716110587664786
91,natops_train_163,3,0,5,-1.0,0.1,0.1,1.0,2.999450799981837,0.99999999999,5.998901599969674,lraes,lraes,0.0004444717410547141,0.9086968681473956,1.1493863333644256,0.29742023390633293,2.986745834350586,0.9519717433164753
66,natops_train_165,3,0,5,-1.0,0.1,0.1,1.0,3.1273634728188986,0.99999999999,6.254726945644053,lraes,lraes,0.0004449535277315421,1.4361601870191003,1.1784997930477532,0.33095178762748445,3.529874563217163,0.9715259425215943
71,natops_train_166,4,0,4,-1.0,0.1,0.1,1.0,3.2644614602557844,0.99999999999,6.528922920518099,lraes,lraes,0.00044261960391470736,0.8753240064838048,1.19637783805542,0.32907667391178946,1.9908254146575928,0.8798304350313773
47,natops_train_169,4,0,0,1.0,0.1,0.1,1.0,2.999450799981837,0.99999999999,5.998901599969674,lraes,lraes,0.0004491631743050386,1.042766019783408,1.3093301980500645,0.4504918825946164,0.814956784248352,0.6931647579578468
137,natops_train_17,1,0,9,1.0,0.1,0.1,1.0,2.1918066585280997,0.99999999999,4.3836133170605835,lraes,lraes,0.0004451385875241493,4.962418364049835,1.2480105062027391,0.3588751670870473,1.8684606552124023,0.8662800619535871
51,natops_train_170,3,0,8,1.0,0.1,0.1,1.0,2.937170509708936,0.99999999999,5.874341019423747,lraes,lraes,0.00044493733563554964,1.2476465007463335,1.18046365322009,0.33604017203996295,3.4993484020233154,0.9706692236285823
36,natops_train_172,5,0,2,1.0,0.1,0.1,1.0,4.111295028713498,0.99999999999,8.22259005743522,lraes,lraes,0.00044322173152914384,1.5890561280584978,1.306118566068,0.4132513348059915,3.1035304069519043,0.957038136214697
17,natops_train_173,1,0,0,-1.0,0.1,0.1,1.0,2.5629630142225075,0.99999999999,5.125926028450142,lraes,lraes,0.0004425094369344269,4.615651852620551,1.3374010613664375,0.4463055638621276,1.982650637626648,0.8789634381110825
67,natops_train_174,3,0,7,1.0,0.1,0.1,1.0,2.9744087712635054,0.99999999999,5.94881754253296,lraes,lraes,0.0004431994275970577,1.0853662712105532,1.1514083245643505,0.26618242419089133,4.241300106048584,0.9858152302284061
118,natops_train_175,3,0,6,-1.0,0.1,0.1,1.0,3.3214436050806064,0.99999999999,6.642887210167856,lraes,lraes,0.0004429767385927736,1.1010778285827927,1.2765547084903672,0.4105267770951759,3.5317277908325195,0.9715771641118833
33,natops_train_176,4,0,8,1.0,0.1,0.1,1.0,2.8589517937670834,0.99999999999,5.717903587539885,lraes,lraes,0.00044610725414660996,1.182853090404841,1.221202428958477,0.40124101260426953,2.051535129547119,0.8861026431396277
58,natops_train_177,0,0,3,-1.0,0.1,0.1,1.0,2.8502843894813235,0.99999999999,5.700568778968348,lraes,lraes,0.00044326446334326725,4.09131085495618,1.2291588553483157,0.33921788897827954,2.678354024887085,0.9357372170048253
4,natops_train_178,3,0,3,-1.0,0.1,0.1,1.0,2.8589517937670834,0.99999999999,5.717903587539885,lraes,lraes,0.0004430878047231977,0.969975680163806,1.1949984214090859,0.32827451521873535,3.216017007827759,0.9614325964441741
126,natops_train_179,3,0,8,1.0,0.1,0.1,1.0,2.9986522141430885,0.99999999999,5.997304428292175,lraes,lraes,0.0004468540383448676,0.8310252533880648,1.2824336707520634,0.4401520625228294,4.0422139167785645,0.9827444267808849
105,natops_train_18,1,0,8,-1.0,0.1,0.1,1.0,1.961235473472027,0.99999999999,3.9224709469479766,lraes,lraes,0.00044511837933987986,5.027469055238554,1.3698807169449423,0.46753457279519295,1.2589911222457886,0.7788523862042359
13,natops_train_19,5,0,3,1.0,0.1,0.1,1.0,4.225695924928001,0.99999999999,8.451391849864454,lraes,lraes,0.0004429223641628739,2.2194462134983923,1.1234779414172558,0.24619341101575,3.6373467445373535,0.9743529922350557
84,natops_train_2,2,0,4,-1.0,0.1,0.1,1.0,1.701901781726212,0.99999999999,3.403803563455828,lraes,lraes,0.00045132848512705856,5.3338973713162785,1.5638833660625764,0.6894294893372848,2.077702045440674,0.8887169705368055
93,natops_train_20,3,0,6,-1.0,0.1,0.1,1.0,3.1233492199274386,0.99999999999,6.246698439861125,lraes,lraes,0.00044649565934670905,1.0058516507968538,1.4166393448797792,0.5617454682491656,3.9028983116149902,0.9802159784023126
28,natops_train_21,2,0,4,1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,lraes,lraes,0.00044740795635248313,4.343305594810958,1.328323549523283,0.477915148799144,2.9241437911987305,0.9490271268754217
23,natops_train_22,4,0,9,-1.0,0.1,0.1,1.0,3.231050432210148,0.99999999999,6.462100864426758,lraes,lraes,0.00044743210370669714,1.764733000782782,1.3734951274389082,0.5571258342066867,1.3269375562667847,0.7903336194921421
127,natops_train_23,3,0,2,-1.0,0.1,0.1,1.0,3.093392197870986,0.99999999999,6.186784395748159,lraes,lraes,0.000447116764287773,1.155203333051511,1.2756562095622799,0.4194314186184204,3.339608669281006,0.9657629053484019
15,natops_train_24,0,0,5,-1.0,0.1,0.1,1.0,3.2293878770406805,0.99999999999,6.458775754087821,lraes,lraes,0.0004460637974089543,4.475774167319725,1.273921900727715,0.39476552900767975,2.3968825340270996,0.9165892720252453
121,natops_train_25,5,0,9,-1.0,0.1,0.1,1.0,3.994167520874677,0.99999999999,7.9883350417573435,lraes,lraes,0.00044386535146360035,2.1807919412866617,1.2750121740403724,0.40334322943946965,3.5486207008361816,0.9720399636443192
45,natops_train_26,2,0,5,1.0,0.1,0.1,1.0,2.8284492721554613,0.99999999999,5.65689854431658,lraes,lraes,0.00044394947994503376,4.281935417418161,1.3102181614991295,0.420011648163716,4.905019760131836,0.9926451972428089
34,natops_train_27,4,0,7,-1.0,0.1,0.1,1.0,3.2733866673353464,0.99999999999,6.5467733346772405,lraes,lraes,0.000441639408241748,0.7672043650495867,1.1036476977636853,0.2281953283827981,1.310664176940918,0.7876242754896077
7,natops_train_28,4,0,9,1.0,0.1,0.1,1.0,3.1491460453377194,0.99999999999,6.298292090681738,lraes,lraes,0.0004456233805054068,0.8300814649217652,1.228466766505636,0.38714712037349797,1.1017372608184814,0.7505854744039412
5,natops_train_29,4,0,8,-1.0,0.1,0.1,1.0,3.093392197870986,0.99999999999,6.186784395748159,lraes,lraes,0.00044395458785313925,1.3895450776135516,1.2554862663397417,0.4148827329458052,0.6466208100318909,0.656248566424045
143,natops_train_3,3,0,6,-1.0,0.1,0.1,1.0,3.154462451388474,0.99999999999,6.308924902783257,lraes,lraes,0.00044219545709593884,0.6543411252323029,1.2294497353735112,0.3707210427421658,2.871330499649048,0.9464108674856359
24,natops_train_30,2,0,0,1.0,0.1,0.1,1.0,1.7285170204385956,0.99999999999,3.4570340408806484,lraes,lraes,0.0004504184433567189,5.496060721267922,1.3990087924331007,0.5131710079500329,2.28185772895813,0.9073633167440248
1,natops_train_31,4,0,7,1.0,0.1,0.1,1.0,3.2742499975796258,0.99999999999,6.548499995165801,lraes,lraes,0.00044428848817923183,1.056674558235146,1.2122987154099871,0.33974357506285546,0.7643201351165771,0.6822909461428224
131,natops_train_32,2,0,3,1.0,0.1,0.1,1.0,2.087402964966733,0.99999999999,4.174805929937642,lraes,lraes,0.00044513206224367933,4.669678177321131,1.2781349983662977,0.3914348595493161,2.89917254447937,0.94780551768083
130,natops_train_33,4,0,0,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,lraes,lraes,0.0004417799740037199,1.146031010122934,1.299286328086846,0.4135888547113843,0.6907621026039124,0.6661364388220008
83,natops_train_34,3,0,0,-1.0,0.1,0.1,1.0,2.7494321651443685,0.99999999999,5.498864330294237,lraes,lraes,0.0004455039818914498,1.3943771358321124,1.4372048685514092,0.5706176242489486,4.03813362121582,0.9826750974050114
69,natops_train_36,2,0,4,1.0,0.1,0.1,1.0,2.969908602080897,0.99999999999,5.939817204167734,lraes,lraes,0.0004483770246123533,4.328348815727419,1.3901572472093093,0.5185522353938161,3.0931596755981445,0.9566097049039445
72,natops_train_37,0,0,6,1.0,0.1,0.1,1.0,2.5570994589654448,0.99999999999,5.114198917936005,lraes,lraes,0.00044907759183883953,4.980117634285817,1.3291318537401395,0.5035680551431271,3.431302547454834,0.9686686238456229
54,natops_train_39,5,0,5,-1.0,0.1,0.1,1.0,4.719441985451199,0.99999999999,9.438883970911837,lraes,lraes,0.00044490188132502006,2.6076776938207895,1.2044038918388549,0.3279795167734021,2.937579870223999,0.9496731848592548
107,natops_train_4,2,0,1,-1.0,0.1,0.1,1.0,2.457815130367025,0.99999999999,4.915630260738966,lraes,lraes,0.00044065998386692476,4.2230703053938985,1.3113450367909063,0.39557116619629945,1.414115071296692,0.8044141871732584
12,natops_train_41,3,0,1,-1.0,0.1,0.1,1.0,3.0426709478080927,0.99999999999,6.085341895622271,lraes,lraes,0.0004385069830862869,1.4490214095107907,1.1562263116561216,0.2790350676766714,3.286074638366699,0.9639479870656938
95,natops_train_43,5,0,9,1.0,0.1,0.1,1.0,4.335717194717644,0.99999999999,8.67143438944396,lraes,lraes,0.00044651504718179463,2.6614257236297605,1.2946428487763708,0.43355503628605196,3.2236218452453613,0.9617135960876552
8,natops_train_44,0,0,2,1.0,0.1,0.1,1.0,2.4876332560704517,0.99999999999,4.975266512145879,lraes,lraes,0.0004418322933497682,4.4153083357287555,1.201078837696285,0.33416964173663455,4.482588768005371,0.9888222430894432
138,natops_train_45,5,0,1,1.0,0.1,0.1,1.0,4.280015287162381,0.99999999999,8.560030574333322,lraes,lraes,0.0004491046034519478,2.3334167110710786,1.28343267395262,0.4035925188851298,2.4884378910064697,0.9233272877966354
75,natops_train_48,0,0,8,-1.0,0.1,0.1,1.0,2.5629630142225075,0.99999999999,5.125926028450142,lraes,lraes,0.000442326229788585,4.425496624221286,1.219106004719279,0.3233206576422138,3.3986949920654297,0.9676637256805882
85,natops_train_49,5,0,5,-1.0,0.1,0.1,1.0,4.305968951212446,0.99999999999,8.611937902433505,lraes,lraes,0.00044502060866506807,2.1592761434339205,1.2171032165798068,0.33716129170548825,3.64151668548584,0.974456990024207
32,natops_train_5,4,0,4,-1.0,0.1,0.1,1.0,3.1754825101545907,0.99999999999,6.350965020315533,lraes,lraes,0.00044471066300089135,1.0760824014162216,1.3052985676223499,0.4395355057312836,1.2021538019180298,0.7689077112724914
106,natops_train_50,3,0,6,-1.0,0.1,0.1,1.0,2.942195921542363,0.99999999999,5.8843918430906115,lraes,lraes,0.0004435397113870074,0.882074769806138,1.2882991879578882,0.43910649734487145,3.168717622756958,0.9596399459356734
50,natops_train_51,0,0,2,1.0,0.1,0.1,1.0,2.3353510880046504,0.99999999999,4.670702176013972,lraes,lraes,0.0004406823709777845,4.440950966137956,1.1610016545149549,0.26105376430025085,2.4701790809631348,0.9220246409058286
21,natops_train_53,2,0,2,1.0,0.1,0.1,1.0,2.405513649952872,0.99999999999,4.811027299910555,lraes,lraes,0.0004405698477109508,4.851144916197585,1.1376603437813695,0.2452241918946566,3.582301139831543,0.9729409305980538
108,natops_train_54,1,0,1,-1.0,0.1,0.1,1.0,2.405513649952872,0.99999999999,4.811027299910555,lraes,lraes,0.00044385868954111756,4.376433568889475,1.4431492133289303,0.5380107264460111,-0.49230194091796875,0.37935143932884363
92,natops_train_58,1,0,2,-1.0,0.1,0.1,1.0,2.427275945120661,0.99999999999,4.854551890246177,lraes,lraes,0.0004444711120444699,4.656554080235609,1.1622991072044746,0.2619481118516444,1.6430604457855225,0.8379509427241871
44,natops_train_59,4,0,9,1.0,0.1,0.1,1.0,2.937170509708936,0.99999999999,5.874341019423747,lraes,lraes,0.0004479669969142666,1.4172936583639304,1.3394646303161737,0.49675282370099916,1.047152042388916,0.7402276382542377
