dataset,seed,status,algo,model,base_f1,mba_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,mba_stop_epoch,f1_gain_pct,base_best_val_f1,mba_best_val_f1,fail_reason,requested_k_dir,effective_k_dir
libras,1,success,lraes,resnet1d,0.8716238833630139,0.8652827623262406,-0.0063411210367733,0.0001278460663859,0.2517185830312095,1.062342993035863,0.120585548185534,0.9733887680006114,0.5275506714835868,-0.0030060043558478,0.55,30.0,26.0,-0.7275064887851259,0.9211111111111112,0.9542857142857144,,,
motorimagery,1,success,lraes,resnet1d,0.4357638888888889,0.4120307553143374,-0.0237331335745514,0.0007203681900644,0.0001057227411704,1.0934314057012997,0.179719940837543,0.9999999999899996,5.862721856486682,-0.0094733736244961,0.5,12.0,23.0,-5.446327411098432,0.5573122529644269,0.5351213282247764,,,
natops,1,success,lraes,resnet1d,0.9551066217732884,0.949648711943794,-0.0054579098294946,0.0004450361725114,2.911806203677614,1.256565565545197,0.3865872256001005,0.99999999999,5.820767181549378,0.0028340846998617,0.4,30.0,30.0,-0.5714450233751166,0.972027972027972,0.972027972027972,,,
pendigits,1,success,lraes,resnet1d,0.9838636206350556,0.9894135153803252,0.0055498947452696,0.0001273657035964,1.4673097558234297e-07,1.0156960918175804,0.0245005832143156,0.1913791678261379,0.0441086306557393,-0.0792810662649571,0.7,24.0,26.0,0.564091817684606,0.9979700621397588,0.9986914036041428,,,
racketsports,1,success,lraes,resnet1d,0.869814782085019,0.9025176625429924,0.0327028804579733,0.0002220806508628,0.0001210358799825,1.0983955424327465,0.1542848378724803,0.9999999999899996,2.143864856004255,-0.0085352316498756,0.7,24.0,30.0,3.759751773800625,0.9705882352941176,0.9705882352941176,,,
selfregulationscp2,1,success,lraes,resnet1d,0.480972147406445,0.502962985945208,0.021990838538763,0.0002390608402985,1.1582745138576836e-05,1.0723589238158933,0.1293276469334272,0.9999999999899998,0.4101357522299036,-0.0039839286124333,0.4,30.0,19.0,4.572163707437306,0.4584139264990329,0.595959595959596,,,
uwavegesturelibrary,1,success,lraes,resnet1d,0.7654252579433738,0.7975183340902064,0.0320930761468326,0.0001565807757228,0.0016604051726516,1.0890884661399445,0.131593541194718,0.9238782908679216,0.539991542003117,0.0152584084775298,0.4,30.0,27.0,4.192842034011487,1.0,0.9166666666666666,,,
articularywordrecognition,1,success,lraes,patchtst,0.9563776629167932,0.9637621508925855,0.0073844879757923,0.0002719531137775,0.0271113901551666,1.1367682866054916,0.2191568564515273,0.9999999999899996,3.913112969615949,0.0,0.0,100.0,100.0,0.7721308736069862,0.96,0.9786666666666668,,,
atrialfibrillation,1,success,lraes,patchtst,0.3632119514472456,0.2592592592592592,-0.1039526921879863,0.0001288683929271,0.0271276498495444,1.0746431285461722,0.1337908966798171,0.9999999999899996,1.0436398834191232,0.0,0.0,100.0,100.0,-28.6203862932904,0.1666666666666666,0.1666666666666666,,,
basicmotions,1,success,lraes,patchtst,0.5158203066172705,0.5832358674463938,0.0674155608291232,0.0002216144146837,0.007478015375301,1.094921550891566,0.1603814612891982,0.99999999999,4.414288785911918,0.0,0.0,27.0,100.0,13.069580025193616,0.6428571428571428,0.5333333333333333,,,
cricket,1,success,lraes,patchtst,0.8041347541347541,0.7669838331603037,-0.0371509209744503,0.0002221762774539,0.013061640650272,1.1102844719101184,0.1660254015603314,0.9999999999899996,2.0181944375652288,0.0,0.0,100.0,23.0,-4.619986409421916,0.7611111111111111,0.7999999999999999,,,
epilepsy,1,success,lraes,patchtst,0.8607041318711799,0.9121685606060606,0.0514644287348806,0.0001574809220602,0.0040930305634794,1.0761447227719132,0.12354597645941,0.9999999999899994,1.4579571049529363,0.0,0.0,99.0,100.0,5.979339572084648,0.7036713286713286,0.8182692307692307,,,
ering,1,success,lraes,patchtst,0.9519420302337652,0.9593738456353624,0.0074318154015972,0.0001814492224704,0.0013186276883155,1.0984849790733613,0.1453151361764665,0.99999999999,1.0850636770009447,0.0,0.0,100.0,100.0,0.780700335194977,1.0,1.0,,,
