dataset,variant,variant_type,n,mean_f1,std_f1,mean_delta_vs_frozen_main,mean_delta_vs_continue_ce,mean_delta_vs_mba,mean_selected_anchor_count,mean_selected_positive_count,mean_candidate_total_count,mean_valid_candidate_count,mean_selected_class_coverage_frac,mean_hard_positive_score,mean_alignment_cosine,mean_entropy_shift,mean_fidelity_score,mean_safe_radius_ratio,mean_alignment_norm_mean,mean_entropy_norm_mean,mean_safe_radius_ratio_mean,mean_fidelity_score_mean_selected,dominant_metric_majority,dominance_risk_majority,mean_acl_last_ce_loss,mean_acl_last_supcon_loss,mean_fidelity_score_mean,mean_hard_positive_score_mean
handwriting,gcg_acl_loss0p1,acl,3,0.4112365267954036,0.04244153799601603,-0.01033513959435258,-0.014190109185495995,-0.04601373049320432,120.0,120.0,480.0,480.0,1.0,0.8085976708792586,-0.09258212055881611,0.0004872255855136447,0.9996754887413256,0.9165134102602164,0.4956972779102237,0.36250851978550064,0.8559246262997464,0.9996754887413256,alignment_norm,False,0.25714005281527835,1.5345837275187175,0.9996754887413256,0.8085976708792586
handwriting,gcg_acl_temp0p05,acl,3,0.41257368521855414,0.049464937876305216,-0.00899798117120206,-0.012852950762345475,-0.0446765720700538,120.0,120.0,480.0,480.0,1.0,0.8041223487630729,-0.09750850560053045,0.0013541234864128961,0.9996752309348278,0.9039276341090333,0.4991325712700804,0.3611258141134437,0.8600939870538259,0.9996752309348278,alignment_norm,False,0.29037755727767944,1.508594532807668,0.9996752309348278,0.8041223487630729
handwriting,gcg_acl_temp0p10,acl,3,0.44367202051324345,0.03329677438497733,0.022100354123487247,0.01824538453234383,-0.013578236775364497,120.0,120.0,480.0,480.0,1.0,0.7906567360981974,-0.09904021253395412,0.0013876471254560684,0.9996752741541095,0.9081072566682453,0.5043901248094383,0.3490797161116723,0.8577526896681441,0.9996752741541095,alignment_norm,False,0.23207382609446844,1.5591718951861064,0.9996752741541096,0.7906567360981974
handwriting,mba_ref,reference,3,0.45725025728860796,0.04679919036751302,0.035678590898851746,0.03182362130770833,0.0,,,,,,,,,,,,,,,,False,,,,
motorimagery,continue_ce_ref,reference,3,0.511775214790785,0.08669066896390906,0.05806445726752111,0.0,0.01881005936490691,,,,,,,,,,,,,,,,False,,,,
motorimagery,gcg_acl_align1p0,acl,3,0.47212260778438797,0.08158511939624011,0.018411850261124057,-0.039652607006397056,-0.020842547641490145,222.0,222.0,888.0,888.0,1.0,0.9998943087905472,-0.08765004432897221,0.00044206164877962426,0.9998943087915472,0.9999999999989999,0.49922093369607873,0.3436798630485212,0.9999999999989999,0.9998943087915472,alignment_norm,True,0.31421870614091557,4.415734390417735,0.9998943087915472,0.9998943087905473
motorimagery,gcg_acl_frozen_main,acl,3,0.4537107575232639,0.04386784688300025,0.0,-0.05806445726752111,-0.0392543979026142,222.0,222.0,888.0,888.0,1.0,0.897723773971908,-0.08577623403933202,0.0034430327967883228,0.9998943161927131,0.9999999999989999,0.5047662594302538,0.3502031986521555,0.9999999999989999,0.9998943161927131,alignment_norm,False,0.16421929995218912,4.215654253959656,0.9998943161927131,0.8977237739719081
motorimagery,gcg_acl_loss0p1,acl,3,0.44454082145182877,0.05511251166813003,-0.009169936071435125,-0.06723439333895624,-0.04842433397404933,222.0,222.0,888.0,888.0,1.0,0.8889255400031291,-0.07227393442571901,0.00254723711593731,0.9998943114855082,0.9999999999989999,0.502145649840117,0.34261488299264475,0.9999999999989999,0.9998943114855082,alignment_norm,False,0.20358218625187874,4.26139618953069,0.9998943114855082,0.8889255400031291
motorimagery,gcg_acl_temp0p05,acl,3,0.45405863290419823,0.08631442718271914,0.0003478753809343371,-0.05771658188658677,-0.038906522521679865,222.0,222.0,888.0,888.0,1.0,0.8715227575358669,-0.09301413229090517,0.0010857394597193859,0.9998943217760159,0.9999999999989999,0.49927507639121194,0.3289103153094316,0.9999999999989999,0.9998943217760159,alignment_norm,False,0.23944802085558572,4.3201638261477155,0.9998943217760159,0.8715227575358668
motorimagery,gcg_acl_temp0p10,acl,3,0.41528128338160836,0.06273786089589067,-0.03842947414165556,-0.09649393140917667,-0.07768387204426976,222.0,222.0,888.0,888.0,1.0,0.8642227689754529,-0.08175107501985578,0.0014229332888359065,0.9998942885547141,0.9999999999989999,0.49892947063005216,0.3401291514340924,0.9999999999989999,0.9998942885547141,alignment_norm,False,0.2880660990873973,4.409343620141347,0.9998942885547141,0.8642227689754529
motorimagery,mba_ref,reference,3,0.4929651554258781,0.06751325714710821,0.0392543979026142,-0.01881005936490691,0.0,,,,,,,,,,,,,,,,False,,,,
