anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,edit_mode,edit_basis,edit_alpha_scale,edit_alpha,edit_norm,edit_energy,edit_basis_fro_norm,edit_status_code,transport_error_fro,transport_error_logeuc,recolor_transport_error_fro,recolor_transport_error_logeuc,bridge_cond_A,margin_aug
88,natops_train_109,3,0,9,1.0,0.1,0.1,1.0,2.875117345822872,0.99999999999,5.750234691651495,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,2.726940195369212,1.9409652094849834,2.726940195369212,1.9409652094849834,1.235175440489747,6.013681888580322
26,natops_train_11,0,0,3,1.0,0.1,0.1,1.0,2.502390924278207,0.99999999999,5.004781848561419,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663689,0.24999999999996464,1.0,1.0,3.2043824512989327,4.575971403765987,3.2043824512989327,4.575971403765987,1.2723000150390453,6.742190361022949
31,natops_train_110,2,0,4,1.0,0.1,0.1,1.0,3.1399303381089525,0.99999999999,6.279860676224185,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663687,0.2499999999999646,1.0,1.0,1.933561316752641,4.27572203771788,1.933561316752641,4.27572203771788,1.12711344621153,6.188066482543945
14,natops_train_111,3,0,5,-1.0,0.1,0.1,1.0,3.4472511332038196,0.99999999999,6.894502266414534,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663689,0.24999999999996464,1.0,1.0,3.076528651745052,1.060500909161168,3.076528651745052,1.060500909161168,1.1404954041508408,5.192298412322998
93,natops_train_112,0,0,6,1.0,0.1,0.1,1.0,2.6223533855690566,0.99999999999,5.244706771143359,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663687,0.2499999999999646,1.0,1.0,3.6858504505117065,3.8542095224505677,3.6858504505117065,3.8542095224505677,1.3118688597558295,6.35909366607666
75,natops_train_113,2,0,2,-1.0,0.1,0.1,1.0,2.1653365203798063,0.99999999999,4.330673040763943,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663695,0.24999999999996472,1.0000000000000002,1.0,1.2521604518420113,5.232118915788361,1.2521604518420113,5.232118915788361,1.401751576992487,3.8345062732696533
92,natops_train_116,4,0,4,-1.0,0.1,0.1,1.0,3.4088177450174215,0.99999999999,6.817635490041662,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,4.378732054336034,1.2807017632078077,4.378732054336034,1.2807017632078077,1.2240759117029651,8.598162651062012
60,natops_train_118,2,0,0,1.0,0.1,0.1,1.0,2.8796693631136785,0.99999999999,5.759338726233117,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,1.8511684523474305,3.912476131547923,1.8511684523474305,3.912476131547923,1.3309924975541982,4.360903263092041
114,natops_train_119,5,0,9,1.0,0.1,0.1,1.0,4.035723499209713,0.99999999999,8.071446998427497,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663687,0.2499999999999646,1.0,1.0,3.7928979571769528,2.010941610348174,3.7928979571769528,2.010941610348174,1.2524327826028703,8.63599681854248
116,natops_train_12,3,0,3,1.0,0.1,0.1,1.0,2.6910328822415917,0.99999999999,5.382065764488566,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,2.9416379120021086,1.2055059547367555,2.9416379120021086,1.2055059547367555,1.2721542464991769,5.555387496948242
