anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
21,natops_train_179,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,3,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.428158857048015,0.00044420409949165837,5.258703776461521,0.00044161003692518827,5.343431316754768
21,natops_train_179,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,3,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.426759738464843,0.0004513684054467863,5.26120611893463,0.00044244122904409555,5.343982928699736
22,natops_train_10,0.25,small,8,1.0,0.1,0.025,0.2499999999975,8,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.733058700970532,0.00044257910654627557,5.55413093770023,0.00044086866226912005,5.643594819335381
22,natops_train_10,0.5,mid,8,1.0,0.1,0.05,0.499999999995,8,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.733071812441723,0.00044756575172086175,5.555867290818646,0.0004408870270401313,5.644469551630184
22,natops_train_10,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,8,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.733412476471923,0.0004630358076295117,5.5586355369653395,0.00044103113412198374,5.646024006718632
23,natops_train_25,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,6,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.630811826365793,0.000442215725727339,5.865619440916946,0.00044090588456857665,5.74821563364137
23,natops_train_25,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,6,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.630838537318959,0.0004456825871691325,5.865541186455451,0.00044094207635781405,5.748189861887205
23,natops_train_25,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,6,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.631574923224236,0.0004561728525796103,5.86541810121097,0.000441082214181139,5.748496512217603
24,natops_train_92,0.25,small,9,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,5.793625887589671,0.0004415589926905066,6.180109082439615,0.00044102206565715246,5.986867485014643
24,natops_train_92,0.5,mid,9,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,5.7945635904942145,0.0004429394944384262,6.180851256246693,0.00044115890227416514,5.987707423370454
24,natops_train_92,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,5.795785990723132,0.0004466634069220315,6.182047463059997,0.00044142493721315495,5.988916726891565
25,natops_train_135,0.25,small,6,1.0,0.1,0.025,0.2499999999975,2,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,5.875993395884394,0.00044241689765487974,6.270320775566259,0.00044085552239901243,6.0731570857253265
25,natops_train_135,0.5,mid,6,1.0,0.1,0.05,0.499999999995,2,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,5.873020369686348,0.00044655278267242954,6.271669351514402,0.0004408301228331906,6.072344860600374
25,natops_train_135,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,2,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,5.869100927445884,0.000459568117624248,6.273831694497766,0.00044084602471920276,6.071466310971825
26,natops_train_96,0.25,small,0,-1.0,0.1,0.025,0.2499999999975,3,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.865619918222563,0.0004419915842579303,5.806461455307225,0.0004406832930683613,5.836040686764894
26,natops_train_96,0.5,mid,0,-1.0,0.1,0.05,0.499999999995,3,-1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.864241473411058,0.00044599779559607595,5.803860778396031,0.0004405079486935625,5.834051125903544
26,natops_train_96,0.9,edge,0,-1.0,0.1,0.09000000000000001,0.899999999991,3,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.861845929175766,0.0004588847913619856,5.799712021509055,0.0004403283879037859,5.830778975342411
27,natops_train_164,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,2,1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.617106295873434,0.0004415077172265979,5.532131318228703,0.0004408633332980939,5.574618807051069
27,natops_train_164,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,2,1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.615252659625153,0.00044400997482078663,5.532452667123225,0.00044084474960195155,5.573852663374189
27,natops_train_164,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,2,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.6157213384730715,0.00045253655196898855,5.532962354065984,0.00044086916712936166,5.574341846269528
28,natops_train_134,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,5,5.461725101727317,0.00044115914627040713,5.456241241914911,0.0004410242710852373,5.458983171821114
28,natops_train_134,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,5,5.460742756330911,0.00044287314970329955,5.457822035090319,0.0004411719680171741,5.459282395710615
28,natops_train_134,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,5,5.4581660240623755,0.0004483808822179568,5.460342930350216,0.00044147382048862063,5.459254477206295
