dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
ering,2,csta_topk_softmax_tau_0.10,success,,0.848105426301868,0.8575214409395723,0.0094160146377042,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,1.0,22,0,0,4.9575815010175575,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001810151965552,0.0013015357068023,1.0851536016335217,0.1349015180283727,0.2204065076021578,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.7328679513918632,0.375,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,1.7328679513918632
ering,2,csta_topk_softmax_tau_0.20,success,,0.848105426301868,0.8523246217295611,0.0042191954276931,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,1.0,30,0,0,5.108082466991618,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001810147362757,0.0013015367097568,1.0867889070394543,0.1345107165065094,0.2204065075896301,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.6173434212995392,0.375,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,1.6173434212995392
ering,2,csta_topk_uniform_top5,success,,0.848105426301868,0.8671337553903701,0.019028329088502,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.118364722002298,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812194388137,0.0013015840543201,1.098069042572177,0.1429676655229652,0.2204065089772856,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.003428294150429,0.2916666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,2.003428294150429
ering,3,csta_top1_current,success,,0.8501737413578302,0.8799985413910164,0.0298248000331862,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,1.0,22,0,0,4.866706741013331,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001809008103393,0.0013505171841603,1.076057916884647,0.1285317830508395,0.2147860118651609,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.7347432485622734,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.7347432485622734
ering,3,csta_topk_softmax_tau_0.05,success,,0.8501737413578302,0.881552145522142,0.0313784041643118,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,1.0,22,0,0,4.9793439650093205,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000180910565905,0.0013505479082378,1.078337033869616,0.1286824421595038,0.2147860123291815,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.6504194524792637,0.375,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.6504194524792637
ering,3,csta_topk_softmax_tau_0.10,success,,0.8501737413578302,0.8624821482052468,0.0123084068474166,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,1.0,22,0,0,4.990059571020538,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001809194362,0.0013505712089003,1.079896389248961,0.1281535217219562,0.2147860128247458,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.9274150466290216,0.2916666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.9274150466290216
ering,3,csta_topk_softmax_tau_0.20,success,,0.8501737413578302,0.8747653491327618,0.0245916077749316,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,1.0,22,0,0,5.040362353000091,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001809827419255,0.0013505338455132,1.0821710423266244,0.131257246856516,0.2147860124424238,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.144847559640404,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,2.144847559640404
ering,3,csta_topk_uniform_top5,success,,0.8501737413578302,0.836349387192084,-0.0138243541657462,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,16,0,0,4.855345001997193,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812196855423,0.0013504756179882,1.0937690424889808,0.1424737027425314,0.2147860128810734,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.9097057700482944,0.2916666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.9097057700482944
handmovementdirection,1,csta_top1_current,success,,0.2384428967090257,0.2792634996582365,0.0408206029492108,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.4893503555268261,14,0,0,7.557307345996378,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854318737694,1.112281146652373e-07,1.0850516593072446,0.1472124037384773,0.2067349553783516,0.9899009169526736,0.1,0.1,0.0,0.0,0.0,1280,1280,10,10,0.0,2.232473697190977,0.1328125,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,55,128,False,1.0,1.0,1.0,0,0.7521657954824004,0.7547584640415349,0.0132217261575631,2.232473697190977
handmovementdirection,1,csta_topk_softmax_tau_0.05,success,,0.2384428967090257,0.2524561403508771,0.0140132436418514,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,0.4285714285714285,15,0,0,7.707964821020141,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854344627859,1.1122795396974645e-07,1.085130401687069,0.1474096640101924,0.206734955431642,0.9899009169526736,0.1,0.1,0.0,0.0,0.0,1280,1280,10,10,0.0,2.24299782326042,0.15625,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,55,128,False,1.0,1.0,1.0,0,0.7521657954824004,0.7547584640415349,0.0132217261575631,2.24299782326042
