dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
ering,1,random_cov_state,success,,0.5424850558740912,0.807341689553242,0.2648566336791508,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.7777777777777777,27,0,,,,,,,0.001317261368891124,,
ering,1,pca_cov_state,success,,0.5424850558740912,0.8528930220106692,0.31040796613657795,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,27,0,,,,,,,0.0013174528043204024,10.0,0.9999999403953552
ering,1,csta_top1_current,success,,0.5424850558740912,0.7711330092133596,0.22864795333926835,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.7777777777777777,30,0,,,,,,,,,
ering,1,csta_group_template_top,success,,0.5424850558740912,0.7010058230308848,0.15852076715679353,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,1.0,30,0,,,,,,,,,
ering,2,no_aug,success,,0.848105426301868,0.848105426301868,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.7777777777777778,30,0,,,,,,,,,
ering,2,raw_aug_jitter,success,,0.848105426301868,0.881472945633485,0.03336751933161697,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,21,0,,,,,,,,,
ering,2,raw_aug_scaling,success,,0.848105426301868,0.8019982323066861,-0.04610719399518193,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,1.0,30,0,0.8,1.2,,,,,,,
ering,2,raw_aug_timewarp,success,,0.848105426301868,0.8547968725987302,0.006691446296862136,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,1.0,22,0,,,,,,,,,
ering,2,raw_mixup,success,,0.848105426301868,0.8619466011209428,0.013841174819074764,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,,,0.4,,,,,,
ering,2,dba_sameclass,success,,0.848105426301868,0.8672264955547161,0.019121069252848066,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,22,240,,,,5.0,5.0,,,,
