dataset,seed,status,algo,model,pipeline,acl_aug_ce_mode,base_f1,act_f1,gain,warmup_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,base_stop_epoch,act_stop_epoch,warmup_stop_epoch,f1_gain_pct,base_best_val_f1,act_best_val_f1,warmup_best_val_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss
cricket,2,success,lraes,resnet1d,gcg_acl,selected,0.9860139860139859,0.972027972027972,-0.013986013986013957,0.8962703962703963,0.00022338044007795915,0.013601367257970008,1.144924823372028,0.2216442320905535,0.9999999999989999,2.0298776721297043,0.00531938515446517,0.4883720930232558,20,20,10,-1.4184395724561256,1.0,0.9444444444444443,0.9444444444444443,86,86,344,0.9493337650671514,0.9866753280011552,0.018025953322649002,1.6874672770500183
cricket,3,success,lraes,resnet1d,gcg_acl,selected,0.9720279720279721,0.9860139860139859,0.013986013986013845,0.9581390831390831,0.00022268211069861795,0.012148063533957797,1.1371081716636853,0.21191842104789196,0.9999999999989999,1.970082535656583,-0.0018498525370337438,0.5087209302325582,20,20,10,1.4388487728378456,1.0,1.0,1.0,86,86,344,0.9691803638349658,0.9881132541039618,0.023298000916838646,1.794927954673767
epilepsy,1,success,lraes,resnet1d,gcg_acl,selected,0.9299086757990868,0.9436507936507936,0.01374211785170687,0.9140397943214844,0.0001571440160675333,0.004096002293416052,1.0812372722233323,0.129283115527598,0.999999999999,1.4579571049529365,0.010982995129771394,0.48623853211009177,15,16,10,1.4777920382456904,1.0,1.0,0.9282051282051282,109,109,436,0.9586577164732455,0.9959050508565258,0.01780347153544426,3.3171794414520264
epilepsy,2,success,lraes,resnet1d,gcg_acl,selected,0.9371819960861056,0.9571595214925555,0.019977525406449814,0.929257558974123,0.0001566271985143503,0.0036925322358574335,1.0809566255577303,0.12932518473315363,0.999999999999,1.4371339364285562,0.03521737814325532,0.44036697247706424,11,11,10,2.1316588835703,0.9641025641025641,1.0,0.9660633484162896,109,109,436,0.9540847279371876,0.9962998571837717,0.025183723308146,3.3134005069732666
epilepsy,3,success,lraes,resnet1d,gcg_acl,selected,0.9718253968253968,0.9633375367801598,-0.00848786004523705,0.9196172368191231,0.0001575441640462827,0.003876735045692706,1.0892078415267978,0.1407229873688996,0.999999999999,1.3987721618539093,-0.01049638888691851,0.5389908256880734,20,20,10,-0.873393430504121,1.0,1.0,1.0,109,109,436,0.9692145039143607,0.9961269971270115,0.011472155340015888,3.2869577407836914
ering,1,success,lraes,resnet1d,gcg_acl,selected,0.8126322783697705,0.754049624825765,-0.05858265354400549,0.3406695761082537,0.00018223623681164636,0.0013164487831067659,1.1087219727926616,0.15656548820962035,0.9999999999989999,1.0850636770009445,0.0039839660554813845,0.4791666666666667,20,18,10,-7.208998201810357,0.7777777777777778,0.7777777777777777,0.4444444444444444,24,24,96,0.887525510756031,0.9986832864566629,0.0014919565292075276,1.9460170269012451
ering,2,success,lraes,resnet1d,gcg_acl,selected,0.7581600380138015,0.8432625568395585,0.08510251882575703,0.39607213103635375,0.00018142505666264542,0.0013020912861651055,1.0908353758696525,0.13089880306565124,0.9997824936180842,1.048420083111889,0.0007511099296001097,0.5104166666666666,20,20,10,11.224873817384454,0.7777777777777778,0.7777777777777778,0.5833333333333334,24,24,96,0.9210292316214757,0.9986979130784194,0.0026018780190497637,1.946255087852478
ering,3,success,lraes,resnet1d,gcg_acl,selected,0.7322853907757851,0.8508742856337353,0.11858889485795021,0.49480764926115833,0.00018191218996696542,0.0013514912223255482,1.0962831419430041,0.13899281586694193,0.9999999999989999,1.0999095086668618,-0.033798337244661525,0.5416666666666666,20,20,10,16.194352660506333,0.5555555555555555,0.5555555555555555,0.3333333333333333,24,24,96,0.9755746432457592,0.9986493036629399,0.0026043716352432966,1.9462884664535522
ethanolconcentration,1,success,lraes,resnet1d,gcg_acl,selected,0.28410181575647153,0.22228122474286158,-0.061820591013609955,0.25987855589783476,0.00016454479082490367,5.434108825707367e-09,1.2228264259981527,0.2997799387741105,0.9993108560823346,1.1657439665283205,-0.0061358569310659035,0.4951923076923077,20,19,10,-21.760004978847718,0.4136956521739131,0.3532088122605364,0.2778138528138528,208,208,832,0.8394031367449626,0.9999999945483773,1.0838887691497803,4.433942377567291
ethanolconcentration,2,success,lraes,resnet1d,gcg_acl,selected,0.25770260537640216,0.27339137446244555,0.015688769086043386,0.2819500476024607,0.00016489172088833909,5.5859313659848815e-09,1.2314194280689252,0.3086924431469812,0.9997279190589617,1.2010931501845237,0.0007152572942896558,0.5060096153846154,18,20,10,6.087933404939724,0.4685064935064935,0.40750582750582753,0.37638352638352635,208,208,832,0.8460766245255833,0.9999999944273816,0.9880869537591934,4.383957028388977
ethanolconcentration,3,success,lraes,resnet1d,gcg_acl,selected,0.26210343254945956,0.26324159298107763,0.0011381604316180738,0.2754769274539646,0.00016561068083375283,5.779216139179773e-09,1.2279688847858112,0.30484708747812717,0.9997399513538946,1.1897868017586046,-0.0024001227434032792,0.4951923076923077,20,12,10,0.43424078284915907,0.3502331002331002,0.4613256113256113,0.2863888888888889,208,208,832,0.84342720521803,0.9999999941896905,1.0876456797122955,4.396374225616455
fingermovements,1,success,lraes,resnet1d,gcg_acl,selected,0.39244156111625994,0.512987012987013,0.12054545187075305,0.5777983729790959,0.0004796030993867936,6.712398682696957e-05,1.1833957505437867,0.358190547345036,0.9999999999989999,6.124161271064866,0.0013299643737448763,0.5099206349206349,16,16,10,30.716782598431042,0.6251591545709193,0.7024712503058478,0.6528028933092225,252,252,1008,0.9246974585922297,0.9999328738368883,0.14476164802908897,4.388397574424744
fingermovements,2,success,lraes,resnet1d,gcg_acl,selected,0.46952257031328193,0.5488721804511278,0.07934961013784592,0.5555555555555556,0.00047942702271994706,6.758375870380465e-05,1.195454500286513,0.375589493449159,0.9999999999989999,6.09611578560737,-0.001353166242811962,0.48908730158730157,11,20,10,16.900059391147416,0.6092796092796093,0.5835835835835836,0.6085148030340103,252,252,1008,0.9011513225719946,0.9999323892394282,0.05742733646184206,4.232051491737366
fingermovements,3,success,lraes,resnet1d,gcg_acl,selected,0.468671679197995,0.5308037535699714,0.06213207437197643,0.4967793880837359,0.0004804160860895272,6.660926670371642e-05,1.2094056413153855,0.40018061418074147,0.9999999999989999,6.067835755862867,-0.000162262017381311,0.49503968253968256,12,12,10,13.25705475125869,0.6717948717948719,0.6679021497405485,0.5625,252,252,1008,0.9073673321197372,0.9999333989005154,0.1165444403886795,4.400023102760315
handmovementdirection,1,success,lraes,resnet1d,gcg_acl,selected,0.3159396238343607,0.33116979458235823,0.01523017074799754,0.18781328320802004,0.00028737525928234286,1.1118287339370545e-07,1.1506881951117147,0.2632123633929716,0.9999999999989999,0.9899009169526742,0.0002946251233879593,0.498046875,20,20,10,4.820593802880684,0.3598731884057971,0.4090442890442891,0.32893374741200826,128,128,512,0.856004141577126,0.9999998887284629,0.014581860974431038,3.4416487216949463
handmovementdirection,2,success,lraes,resnet1d,gcg_acl,selected,0.2708746693121693,0.2289023448498889,-0.041972324462280414,0.20132993774759478,0.0002876339643744024,1.11139973764414e-07,1.1551028453041539,0.27192300173189843,0.9999999999989999,0.987985101412487,-0.004174630854777206,0.5,20,20,10,-15.495102983884578,0.4102368220015279,0.3875,0.25226860254083483,128,128,512,0.8601172534718297,0.9999998888661171,0.020701232366263866,3.466031074523926
handmovementdirection,3,success,lraes,resnet1d,gcg_acl,selected,0.2647129888509199,0.2556519138755981,-0.00906107497532177,0.17349726775956284,0.0002874601086896247,1.1144892801081153e-07,1.1503491307806688,0.2654184454601982,0.9999999999989999,1.0034452843727368,-0.0028615902010642458,0.505859375,11,20,10,-3.422979579383304,0.3520833333333333,0.37702020202020203,0.3323754789272031,128,128,512,0.8841052445422051,0.9999998884946878,0.016770152375102043,3.4441124200820923
handwriting,1,success,lraes,resnet1d,gcg_acl,selected,0.42758486203161183,0.47825952802498395,0.050674665993372114,0.16168685896423501,0.00015654253643307753,0.0003236882790681099,1.0641227846922043,0.0933302985972831,0.8552730610445105,0.24298309895357512,-0.006601030366194512,0.5083333333333333,20,20,10,11.851367679676649,0.3416666666666666,0.36527777777777776,0.10277777777777779,120,120,480,0.780474768140087,0.999674530694234,0.22380835562944412,1.5155342817306519
