dataset,seed,arm,class_id,prototype_id,fit_anchor_count,fit_anchor_margin_mean,fit_anchor_same_dist_mean,anchor_coverage_ratio_mean,weight_mean,weight_min,weight_max,effective_sample_size,effective_sample_ratio,weight_scale,weight_kernel_name,fallback_unweighted
natops,1,c0_unweighted_a2r,5,3,8,2.404310571405978,5.405568880855812,,1.0,1.0,1.0,8.0,1.0,0.0,identity,False
natops,1,c1_mean_dist_weighted_a2r,0,0,8,0.5030810604720519,3.3916853806625946,,0.3682967477772325,0.33796489131236435,0.4020097817182041,7.981834639301959,0.9977293299127449,3.3916853806625946,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,0,1,8,0.8630821976046186,3.3658088608275714,,0.36797250965768696,0.36036258081404016,0.3888177043185936,7.995848666496583,0.9994810833120729,3.3658088608275714,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,0,2,8,1.5069689063347007,3.2825226152070544,,0.3680160724591218,0.35466472993751996,0.38477204539054094,7.9940224911163575,0.9992528113895447,3.2825226152070544,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,0,3,8,1.449892007164888,3.6591817966877294,,0.3679006726349233,0.36125779871404945,0.3715476955956036,7.999082496341705,0.9998853120427131,3.6591817966877294,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,1,0,8,0.07289349594187888,3.798332794343885,,0.36816473540351785,0.34378162353349767,0.3824291309935667,7.987751139121067,0.9984688923901334,3.798332794343885,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,1,1,8,0.7180726574524804,3.577446430974101,,0.36798528800571806,0.3613252633776117,0.39033932014926714,7.995266006841697,0.9994082508552121,3.577446430974101,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,1,2,8,0.1991691609702559,3.2044888151779203,,0.36791510535561445,0.35933295871958093,0.3768329790259138,7.998447591153213,0.9998059488941516,3.2044888151779203,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,1,3,8,2.9857216200771033,2.853768619094396,,0.3681342629260721,0.3427925950998497,0.3848017861442959,7.989189607538434,0.9986487009423043,2.853768619094396,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,2,0,8,-0.12472803024488971,3.7229515807711056,,0.3678874960756429,0.36331666660590756,0.37072010215789736,7.999650598343108,0.9999563247928885,3.7229515807711056,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,2,1,8,0.6358442348894825,3.5613650577112184,,0.36795663645146215,0.3577324805034689,0.3814598964899521,7.996635700025656,0.999579462503207,3.5613650577112184,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,2,2,8,2.2104147952222473,3.2628284407927834,,0.3678937958258652,0.36412710280886734,0.3724099338401333,7.999374844633277,0.9999218555791596,3.2628284407927834,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,2,3,8,1.071600603170148,3.1374271788575596,,0.3679818171440715,0.35489841297267793,0.38157066717310023,7.995557415030885,0.9994446768788606,3.1374271788575596,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,3,0,8,0.8666836763548701,5.5515552595337905,,0.3680838974712042,0.3523312457674776,0.38366888307560876,7.99113602215287,0.9988920027691087,5.5515552595337905,exp_distance_over_mean,False
natops,1,c1_mean_dist_weighted_a2r,3,1,8,0.6595381847647819,5.190122141816204,,0.3678948851676672,0.35987357234181894,0.3711987540521285,7.999334660805715,0.9999168326007144,5.190122141816204,exp_distance_over_mean,False
