dataset,seed,arm,direction,utilization,f1,base_f1,act_f1,gain,source_result_arm,transport_error_logeuc_mean,safe_radius_ratio_mean,candidate_total_count,aug_total_count,direction_bank_source,feedback_weight_mean,feedback_weight_std,last_weighted_aug_ce_loss,last_aug_margin_mean,zpia_row_norm_mean,telm2_recon_last,core_zpia_vs_core_lraes,feedback_zpia_vs_feedback_lraes,lraes_feedback_vs_lraes_core,zpia_feedback_vs_zpia_core,zpia_core_vs_baseline
handwriting,2,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.2572901065312444,0.235855843616036,0.2572901065312444,0.0214342629152083,mba_feedback_zpia,0.0003199978760696,0.8748595231437427,120.0,120.0,zpia_telm2,0.5824236335853735,0.2277380840779159,0.5854744613170624,1.6851863265037537,1.0,0.1918097120850691,0.07032623418596007,-0.021208465454350678,-0.09270573472029903,-0.18424043436060977,0.20567469727581816
handwriting,3,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.2344207014352458,0.2518382860113333,0.2344207014352458,-0.0174175845760874,mba_feedback_zpia,0.0003242990202455,0.8676174587905521,120.0,120.0,zpia_telm2,0.5855536614110073,0.2299699176684303,0.5906756520271301,1.6235029101371763,1.0,0.2306510925046364,-0.06248842417326911,0.026708085822890387,-0.1910420459846914,-0.10184553598853191,0.08442795141244441
natops,1,baseline_ce,none,core_ce_only,0.9373000436629222,0.9373000436629222,0.9373000436629222,0.0,mba_feedback_lraes,,,,,,,,,,,,0.011132206730112393,-0.0052670131837210254,0.010477068320205785,-0.005922151593627634,0.006046147272468216
natops,2,baseline_ce,none,core_ce_only,0.94962180852706,0.94962180852706,0.94962180852706,0.0,mba_feedback_lraes,,,,,,,,,,,,-0.018209932112298155,-0.005825062428835737,0.015891463371215164,0.028276333054677583,-0.017794475786763186
natops,3,baseline_ce,none,core_ce_only,0.8780165897375874,0.8780165897375874,0.8780165897375874,0.0,mba_feedback_lraes,,,,,,,,,,,,0.044255175385862544,0.016271184439189956,0.01342350068739262,-0.014560490259279968,0.0552071452505265
natops,1,mba_core_lraes,lraes,mba_core_ce_mix,0.932213984205278,0.9373000436629222,0.932213984205278,-0.005086059457644,mba_core_lraes,2.9117433656524145,0.99999999999,144.0,144.0,lraes,,,,,,,0.011132206730112393,-0.0052670131837210254,0.010477068320205785,-0.005922151593627634,0.006046147272468216
natops,2,mba_core_lraes,lraes,mba_core_ce_mix,0.950037264852595,0.94962180852706,0.950037264852595,0.0004154563255349,mba_core_lraes,2.9147330765041493,0.99999999999,144.0,144.0,lraes,,,,,,,-0.018209932112298155,-0.005825062428835737,0.015891463371215164,0.028276333054677583,-0.017794475786763186
natops,3,mba_core_lraes,lraes,mba_core_ce_mix,0.8889685596022514,0.8780165897375874,0.8889685596022514,0.0109519698646639,mba_core_lraes,2.922072582397758,0.99999999999,144.0,144.0,lraes,,,,,,,0.044255175385862544,0.016271184439189956,0.01342350068739262,-0.014560490259279968,0.0552071452505265
natops,1,mba_core_zpia,zpia,mba_core_ce_mix,0.9433461909353904,0.9373000436629222,0.9433461909353904,0.0060461472724683,mba_core_zpia,2.912408272354664,0.99999999999,144.0,144.0,zpia_telm2,,,,,1.0,0.7636912876489859,0.011132206730112393,-0.0052670131837210254,0.010477068320205785,-0.005922151593627634,0.006046147272468216
natops,2,mba_core_zpia,zpia,mba_core_ce_mix,0.9318273327402968,0.94962180852706,0.9318273327402968,-0.0177944757867631,mba_core_zpia,2.914722989859794,0.99999999999,144.0,144.0,zpia_telm2,,,,,1.0,0.7607113644303106,-0.018209932112298155,-0.005825062428835737,0.015891463371215164,0.028276333054677583,-0.017794475786763186
natops,3,mba_core_zpia,zpia,mba_core_ce_mix,0.933223734988114,0.8780165897375874,0.933223734988114,0.0552071452505265,mba_core_zpia,2.921029937512813,0.99999999999,144.0,144.0,zpia_telm2,,,,,1.0,0.7593925858449917,0.044255175385862544,0.016271184439189956,0.01342350068739262,-0.014560490259279968,0.0552071452505265
natops,1,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.9426910525254838,0.9373000436629222,0.9426910525254838,0.0053910088625616,mba_feedback_lraes,2.9109362773788097,0.99999999999,144.0,144.0,lraes,0.8983059446913777,0.1820122608403556,0.0243604313582181,5.470225016276042,,,0.011132206730112393,-0.0052670131837210254,0.010477068320205785,-0.005922151593627634,0.006046147272468216
natops,2,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.9659287282238102,0.94962180852706,0.9659287282238102,0.0163069196967501,mba_feedback_lraes,2.9144199630812757,0.99999999999,144.0,144.0,lraes,0.8803323475747473,0.2014690962882049,0.0414788077274958,5.033244609832764,,,-0.018209932112298155,-0.005825062428835737,0.015891463371215164,0.028276333054677583,-0.017794475786763186
natops,3,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.902392060289644,0.8780165897375874,0.902392060289644,0.0243754705520566,mba_feedback_lraes,2.9217935566599658,0.99999999999,144.0,144.0,lraes,0.8929963332734554,0.1978693124573534,0.0538776305814584,4.564224720001221,,,0.044255175385862544,0.016271184439189956,0.01342350068739262,-0.014560490259279968,0.0552071452505265
natops,1,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.9374240393417628,0.9373000436629222,0.9374240393417628,0.0001239956788405,mba_feedback_zpia,2.911917636925598,0.99999999999,144.0,144.0,zpia_telm2,0.8969484765306805,0.1832061015448122,0.022824107358853,5.584321975708008,1.0,0.7636912876489859,0.011132206730112393,-0.0052670131837210254,0.010477068320205785,-0.005922151593627634,0.006046147272468216
natops,2,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.9601036657949744,0.94962180852706,0.9601036657949744,0.0104818572679142,mba_feedback_zpia,2.9140050353470364,0.99999999999,144.0,144.0,zpia_telm2,0.8839714239204854,0.1990464019655843,0.0376216272513071,5.1949968338012695,1.0,0.7607113644303106,-0.018209932112298155,-0.005825062428835737,0.015891463371215164,0.028276333054677583,-0.017794475786763186
natops,3,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.918663244728834,0.8780165897375874,0.918663244728834,0.0406466549912465,mba_feedback_zpia,2.921551429616285,0.99999999999,144.0,144.0,zpia_telm2,0.8929881736318176,0.1939624363256759,0.0578566466768582,4.851166645685832,1.0,0.7593925858449917,0.044255175385862544,0.016271184439189956,0.01342350068739262,-0.014560490259279968,0.0552071452505265
