anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
3,atrialfibrillation_train_5,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,0,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,0.010925679884408885,0.00013079728085050617,0.06901327205730853,0.0001311139555967505,0.03996947597085871
4,atrialfibrillation_train_1,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,3,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,0.011270895270387953,0.00012631377221461473,0.03865765574509682,0.00012818926663030894,0.024964275507742384
4,atrialfibrillation_train_1,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,3,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,0.011247370190042044,0.00012563404276907968,0.03865277667910016,0.00012912064338020196,0.0249500734345711
4,atrialfibrillation_train_1,0.9,edge,7,-1.0,0.1,0.09000000000000001,0.899999999991,3,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,0.011206139243757468,0.0001251239056032533,0.03864488184202589,0.00013065591700314952,0.02492551054289168
5,atrialfibrillation_train_14,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,6,1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,0.036754620506334074,0.0001248557651537467,0.46425067114368285,0.000127019953437398,0.2505026458250085
5,atrialfibrillation_train_14,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,6,1.0,0.05,0.025,0.49999999999,0.4999999999925,2,0.036643564661928786,0.0001225566554269997,0.46400036981926845,0.0001268620866395932,0.25032196724059863
5,atrialfibrillation_train_14,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,6,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,0.036461100075434585,0.00011912563884871289,0.46356552042395865,0.00012681846762553276,0.25001331024969664
6,atrialfibrillation_train_3,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,0,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,0.001693404752917413,0.00012698646950568164,0.023624789421475778,0.00012832440267996866,0.012659097087196595
6,atrialfibrillation_train_3,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,0,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,0.0016860418311505595,0.00012680300009362138,0.023687310312225082,0.00012939074252121582,0.012686676071687822
6,atrialfibrillation_train_3,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,0,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,0.0016739430928921592,0.0001267345941673439,0.023785738415714807,0.00013114164747145287,0.012729840754303483
7,atrialfibrillation_train_7,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,0.009735097077727154,0.00012780512904792535,0.05573153647485944,0.00012859147207837745,0.0327333167762933
7,atrialfibrillation_train_7,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,0.009738822298710897,0.00012891439691164414,0.05584556066671203,0.00012992701319041217,0.032792191482711466
7,atrialfibrillation_train_7,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,0.009742036696568781,0.00013189036478092363,0.05602558606677398,0.00013211320780517197,0.03288381138167138
8,atrialfibrillation_train_6,0.25,small,3,-1.0,0.1,0.025,0.2499999999975,7,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,0.0032069473588236873,0.00012698730199314683,0.017898447814376193,0.00012738456420709096,0.01055269758659994
8,atrialfibrillation_train_6,0.5,mid,3,-1.0,0.1,0.05,0.499999999995,7,-1.0,0.05,0.025,0.49999999999,0.4999999999925,1,0.003192839292732029,0.00012680580955097033,0.017924259165862624,0.00012755429309770086,0.010558549229297326
8,atrialfibrillation_train_6,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,7,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,0.0031696588078597354,0.00012674299169920298,0.017964078472564298,0.00012795972675988518,0.010566868640212017
9,atrialfibrillation_train_11,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,0.004214427609404347,0.00012725849996941124,0.03078159283764477,0.00012859074117525478,0.017498010223524558
9,atrialfibrillation_train_11,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,2,0.004196485134034032,0.00012737303141376464,0.030840065150114965,0.00012992022443579886,0.017518275142074498
9,atrialfibrillation_train_11,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,0.0041669682287525465,0.00012783630921706603,0.0309323802149111,0.00013208532035998156,0.017549674221831825
10,atrialfibrillation_train_9,0.25,small,6,-1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,0.00820195416468424,0.00012726204764074611,0.04549696211728426,0.0001273687649143463,0.02684945814098425
10,atrialfibrillation_train_9,0.5,mid,6,-1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,0.00816729257857625,0.00012738609216795909,0.045410561973909684,0.00012749577448280228,0.026788927276242967
10,atrialfibrillation_train_9,0.9,edge,6,-1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,0.008110191362879646,0.0001278769781779602,0.04527045553639081,0.00012777702541546024,0.026690323449635227
11,atrialfibrillation_train_13,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,8,1.0,0.05,0.0125,0.249999999995,0.24999999999625,2,0.004963268901702133,0.00012486539172824608,0.00692756081639313,0.00012687920707210625,0.005945414859047631
11,atrialfibrillation_train_13,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,8,1.0,0.05,0.025,0.49999999999,0.4999999999925,2,0.004945187585977755,0.0001226015467837101,0.006909000120228334,0.00012653253915958956,0.005927093853103044
11,atrialfibrillation_train_13,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,8,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,2,0.004915412777931605,0.00011927754282415867,0.006878671428284469,0.00012608794073435566,0.005897042103108037
