split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,1,-1,6,fixed,pinv,same_only,pooled,none,0.0078125,96443504.0,0.0,1.01829993724823
train,1,1,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,96444232.0,0.0,1.0182996988296509
train,1,1,-1,8,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443160.0,0.0,1.018300175666809
train,1,1,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,96444536.0,0.0,1.0182998180389404
train,1,1,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,96442032.0,0.0,1.0182998180389404
train,1,1,-1,11,fixed,pinv,same_only,pooled,none,0.0078125,96444536.0,0.0,1.0182998180389404
train,1,1,-1,12,fixed,pinv,same_only,pooled,none,0.0078125,96444048.0,0.0,1.01829993724823
train,1,1,-1,13,fixed,pinv,same_only,pooled,none,0.0078125,96442984.0,0.0,1.0183002948760986
train,1,1,-1,14,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443872.0,0.0,1.0183002948760986
train,1,1,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,96444048.0,0.0,1.01829993724823
train,1,1,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,96445256.0,0.0,1.0183000564575195
train,1,1,-1,17,fixed,pinv,same_only,pooled,none,0.0078125,96443832.0,0.0,1.01829993724823
train,1,1,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,96445896.0,0.0,1.0182998180389404
train,1,1,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,96443920.0,0.0,1.0183002948760986
train,1,1,-1,20,fixed,pinv,same_only,pooled,none,0.0078125,96443560.0,0.0,1.01829993724823
train,1,1,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,96442712.0,0.0,1.018300175666809
train,1,1,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,96446448.0,0.0,1.0183002948760986
train,1,1,-1,23,fixed,pinv,same_only,pooled,none,0.007812499534338713,96443824.0,0.0,1.018300175666809
train,1,1,-1,24,fixed,pinv,same_only,pooled,none,0.007812499534338713,96444568.0,0.0,1.0183002948760986
train,1,1,-1,25,fixed,pinv,same_only,pooled,none,0.0078125,96444504.0,0.0,1.0183004140853882
train,1,1,-1,26,fixed,pinv,same_only,pooled,none,0.007812499534338713,96442976.0,0.0,1.01829993724823
train,1,1,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,96442496.0,0.0,1.018300175666809
train,1,1,-1,28,fixed,pinv,same_only,pooled,none,0.007812499534338713,96442512.0,0.0,1.0183000564575195
train,1,1,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,96442928.0,0.0,1.0182998180389404
