anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight,margin_aug,feedback_weight
20,1,natops_train_124,0,0.49999999969884984,0.49999999969884984,0.49999999999949996,4.815573639060734,4,1.0,20,mid,0.5,1.0,0.5,61,0.0008420689691130761,4.170134621697442,6.231350729841091,5.68281936137722,-0.011829279363155365,1.0,0.007506673689931631,0.007591774221509695,8.510053157806396e-05,8.411468505859375,0.9997777342796326,8.411468505859375,0.9997777342796326
20,2,natops_train_124,0,0.8999999994579299,0.8999999994579299,0.8999999999991,4.815573639060734,4,1.0,20,edge,0.9,1.0,0.9,62,0.0018956936031680307,4.192701420499391,16.25740187784401,15.761732730612461,-0.010220663622021675,1.0,0.007506673689931631,0.007635295391082764,0.00012862170115113258,8.407536506652832,0.9997768998146057,8.407536506652832,0.9997768998146057
21,0,natops_train_53,2,0.25000000035802367,0.25000000035802367,0.24999999999974998,4.811027322160085,8,1.0,21,small,0.25,1.0,0.25,63,0.0004710375265905125,4.872174139174219,1.8416087127256207,1.1234361228341845,0.09450136870145798,0.0,0.007732971105724573,0.006815379019826651,-0.0009175920858979225,7.812619686126709,0.999595582485199,7.812619686126709,0.999595582485199
21,1,natops_train_53,2,0.5000000007160473,0.5000000007160473,0.49999999999949996,4.811027322160085,8,1.0,21,mid,0.5,1.0,0.5,64,0.000589500663555745,4.883472853828157,3.2696057943384256,2.9630259637283594,0.09470900148153305,0.0,0.007732971105724573,0.006025319918990135,-0.001707651186734438,7.940607070922852,0.9996441602706909,7.940607070922852,0.9996441602706909
21,2,natops_train_53,2,0.9000000012888852,0.9000000012888852,0.8999999999991,4.811027322160085,8,1.0,21,edge,0.9,1.0,0.9,65,0.0011207645268121126,4.899378102301823,7.196366521771236,8.60671338967952,0.09508645534515381,0.0,0.007732971105724573,0.004978110082447529,-0.0027548610232770443,8.143938064575195,0.9997095465660095,8.143938064575195,0.9997095465660095
22,0,natops_train_150,5,0.25000000035802367,0.25000000035802367,0.24999999999974998,7.208773373355861,8,-1.0,22,small,0.25,1.0,0.25,66,0.0004582477001399106,1.2305789870663713,1.6279772994305737,0.9275226426025723,0.09868285059928894,0.0,0.0035099387168884277,0.003203078405931592,-0.00030686031095683575,9.089701652526855,0.999887228012085,9.089701652526855,0.999887228012085
22,1,natops_train_150,5,0.5000000007160473,0.5000000007160473,0.49999999999949996,7.208773373355861,8,-1.0,22,mid,0.5,1.0,0.5,67,0.000521251208705829,1.229262028892384,2.5914591232319055,2.0529764420830094,0.0990772396326065,0.0,0.0035099387168884277,0.0029317233711481094,-0.0005782153457403183,9.182257652282715,0.9998971223831177,9.182257652282715,0.9998971223831177
22,2,natops_train_150,5,0.9000000012888852,0.9000000012888852,0.8999999999991,7.208773373355861,8,-1.0,22,edge,0.9,1.0,0.9,68,0.0007414351486778233,1.2255893230531274,5.023865546942656,4.649103036565302,0.09956108033657074,0.0,0.0035099387168884277,0.002560266526415944,-0.0009496721904724836,9.32636833190918,0.9999109506607056,9.32636833190918,0.9999109506607056
23,0,natops_train_22,4,0.24999999984942492,0.24999999984942492,0.24999999999974998,6.462100882138056,4,-1.0,23,small,0.25,1.0,0.25,69,0.00046314204466917785,1.7630661340145368,1.624081739720673,1.0246332739845756,0.12695449590682983,0.0,0.15630842745304108,0.1405637562274933,-0.01574467122554779,4.1156086921691895,0.983945906162262,4.1156086921691895,0.983945906162262
23,1,natops_train_22,4,0.49999999969884984,0.49999999969884984,0.49999999999949996,6.462100882138056,4,-1.0,23,mid,0.5,1.0,0.5,70,0.0005414335027631958,1.7598941125336542,2.583856891372118,2.308134462118255,0.13051936030387878,0.0,0.15630842745304108,0.1279202252626419,-0.02838820219039917,4.213962554931641,0.9854277968406677,4.213962554931641,0.9854277968406677
23,2,natops_train_22,4,0.8999999994579299,0.8999999994579299,0.8999999999991,6.462100882138056,4,-1.0,23,edge,0.9,1.0,0.9,71,0.0008145530886141051,1.7525201858076387,5.0425023140705045,5.365383367832068,0.1357353776693344,0.0,0.15630842745304108,0.11029088497161865,-0.046017542481422424,4.361452102661133,0.9874009490013123,4.361452102661133,0.9874009490013123
24,0,natops_train_30,2,0.2500000004675457,0.2500000004675457,0.24999999999974998,3.4570340570937756,7,1.0,24,small,0.25,1.0,0.25,72,0.00047798943487581294,5.46044486997843,2.0505186648748235,1.296438397519966,-0.10371614247560501,1.0,0.06942282617092133,0.07381261885166168,0.0043897926807403564,4.884679317474365,0.9924951791763306,4.884679317474365,0.9924951791763306
24,1,natops_train_30,2,0.5000000009350914,0.5000000009350914,0.49999999999949996,3.4570340570937756,7,1.0,24,mid,0.5,1.0,0.5,73,0.0006228126206354626,5.443389200688224,3.877738739238991,3.393428425707483,-0.10316230356693268,1.0,0.06942282617092133,0.07884085923433304,0.009418033063411713,4.784079074859619,0.9917075037956238,4.784079074859619,0.9917075037956238
24,2,natops_train_30,2,0.9000000016831647,0.9000000016831647,0.8999999999991,3.4570340570937756,7,1.0,24,edge,0.9,1.0,0.9,74,0.0011980615870118647,5.416343162141683,8.737619231293905,9.359252258406816,-0.1022360622882843,1.0,0.06942282617092133,0.0890197679400444,0.019596941769123077,4.595364570617676,0.9900023937225342,4.595364570617676,0.9900023937225342
