split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,2,-1,37,fixed,pinv,same_only,pooled,none,0.0078125,96307848.0,0.0,1.0190802812576294
train,1,2,-1,38,fixed,pinv,same_only,pooled,none,0.0078125,96313048.0,0.0,1.0190801620483398
train,1,2,-1,39,fixed,pinv,same_only,pooled,none,0.007812499068677425,96314992.0,0.0,1.0190796852111816
train,1,2,-1,40,fixed,pinv,same_only,pooled,none,0.0078125,96308912.0,0.0,1.0190798044204712
train,1,2,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,96307752.0,0.0,1.0190800428390503
train,1,2,-1,42,fixed,pinv,same_only,pooled,none,0.0078125,96313016.0,0.0,1.0190796852111816
train,1,2,-1,43,fixed,pinv,same_only,pooled,none,0.0078125,96313416.0,0.0,1.0190800428390503
train,1,2,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,96308216.0,0.0,1.0190801620483398
train,1,2,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,96311280.0,0.0,1.0190801620483398
train,1,2,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,96306960.0,0.0,1.0190801620483398
train,1,2,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,96308688.0,0.0,1.0190801620483398
train,1,2,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,96309856.0,0.0,1.0190800428390503
train,1,2,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,96312544.0,0.0,1.019079566001892
train,1,2,-1,50,fixed,pinv,same_only,pooled,none,0.0078125,96311600.0,0.0,1.0190802812576294
train,1,2,-1,51,fixed,pinv,same_only,pooled,none,0.0078125,96307992.0,0.0,1.0190800428390503
train,1,2,-1,52,fixed,pinv,same_only,pooled,none,0.0078125,96312952.0,0.0,1.0190796852111816
train,1,2,-1,53,fixed,pinv,same_only,pooled,none,0.0078125,96308240.0,0.0,1.0190802812576294
train,1,2,-1,54,fixed,pinv,same_only,pooled,none,0.007812500931322575,96310280.0,0.0,1.0190800428390503
train,1,2,-1,55,fixed,pinv,same_only,pooled,none,0.0078125,96312408.0,0.0,1.0190799236297607
train,1,2,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,96313056.0,0.0,1.0190800428390503
train,1,2,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,96311392.0,0.0,1.0190798044204712
train,1,2,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,96312688.0,0.0,1.0190802812576294
train,1,2,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,96309608.0,0.0,1.0190796852111816
train,1,2,-1,60,fixed,pinv,same_only,pooled,none,0.007812500931322575,96310584.0,0.0,1.019080400466919
train,1,2,-1,61,fixed,pinv,same_only,pooled,none,0.0078125,96311304.0,0.0,1.0190799236297607
train,1,2,-1,62,fixed,pinv,same_only,pooled,none,0.007812500931322575,96309416.0,0.0,1.0190802812576294
train,1,2,-1,63,fixed,pinv,same_only,pooled,none,0.007812500931322575,96308336.0,0.0,1.0190798044204712
train,1,3,-1,0,fixed,pinv,same_only,pooled,none,0.0078125,96302088.0,0.0,1.01907479763031
train,1,3,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,96303248.0,0.0,1.0190746784210205
train,1,3,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,96304224.0,0.0,1.0190750360488892
train,1,3,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,96303232.0,0.0,1.019074559211731
train,1,3,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,96304152.0,0.0,1.0190746784210205
train,1,3,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,96303216.0,0.0,1.0190752744674683
train,1,3,-1,6,fixed,pinv,same_only,pooled,none,0.007812500931322575,96302992.0,0.0,1.019074559211731
train,1,3,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,96303112.0,0.0,1.0190746784210205
train,1,3,-1,8,fixed,pinv,same_only,pooled,none,0.0078125,96304744.0,0.0,1.019074559211731
