dataset,method,n_seeds,tangent_available_rate_mean,tangent_available_rate_std,selected_alignment_mean_mean,selected_alignment_mean_std,random_alignment_mean_mean,random_alignment_mean_std,pca_alignment_mean_mean,pca_alignment_mean_std,selected_minus_random_alignment_mean,selected_minus_random_alignment_std,selected_minus_pca_alignment_mean,selected_minus_pca_alignment_std,selected_normal_leakage_mean_mean,selected_normal_leakage_mean_std,random_normal_leakage_mean_mean,random_normal_leakage_mean_std,pca_normal_leakage_mean_mean,pca_normal_leakage_mean_std,fallback_count_mean,fallback_count_std,insufficient_neighbor_count_mean,insufficient_neighbor_count_std,top1_alignment_mean_mean,top1_alignment_mean_std,top5_alignment_mean_mean,top5_alignment_mean_std,top5_alignment_std_mean_mean,top5_alignment_std_mean_std,selected_alignment_rank_within_top5_mean_mean,selected_alignment_rank_within_top5_mean_std,selected_alignment_minus_top5_mean_mean,selected_alignment_minus_top5_mean_std,top5_response_mean_mean,top5_response_mean_std,top5_response_std_mean_mean,top5_response_std_mean_std
handwriting,csta_topk_uniform_top5,3,0.9333333333333332,0.0,0.3468787813961088,0.044513718970244226,0.3061799219656312,0.004301561242017866,0.2919721598589774,0.02741726309769599,0.0406988594304776,0.04391632477876115,0.05490662153713136,0.033826561363805636,0.6531212186038912,0.04451371897024426,0.6938200780343688,0.0043015612420178526,0.7080278401410225,0.027417263097695935,20.0,0.0,20.0,0.0,0.424890335029414,0.019340028421804527,0.3330202812355872,0.03006903479058552,0.2049629896318852,0.021939885913905617,2.8869047619047614,0.07697926878796177,0.013858500160521633,0.0146052887716482,0.3731241901513746,0.016666349965102342,0.11691112632561956,0.010179001957307638
handwriting,pca_cov_state,3,0.9333333333333332,0.0,,,,,0.2919721598589774,0.02741726309769599,,,,,,,,,0.7080278401410225,0.027417263097695935,20.0,0.0,20.0,0.0,0.42489033502941403,0.01934002842180458,0.33302028123558713,0.03006903479058546,0.2049629896318852,0.021939885913905617,,,,,0.3731241901513746,0.016666349965102273,0.11691112632561956,0.010179001957307638
handwriting,random_cov_state,3,0.9333333333333332,0.0,,,0.3061799219656312,0.004301561242017866,,,,,,,,,0.6938200780343688,0.0043015612420178526,,,20.0,0.0,20.0,0.0,0.42489033502941403,0.01934002842180458,0.33302028123558713,0.03006903479058546,0.2049629896318852,0.021939885913905617,,,,,0.3731241901513746,0.016666349965102273,0.11691112632561956,0.010179001957307638
japanesevowels,csta_top1_current,3,1.0,0.0,0.1326907957977221,0.008470461471207497,0.0761059476334351,0.0002849177623108792,0.17477365461878203,0.0017630344221452293,0.056584848164286966,0.008273797346987622,-0.04208285882105991,0.008990828545491457,0.8673092042022779,0.008470461471207526,0.9238940523665647,0.00028491776231083694,0.825226345381218,0.0017630344221451807,0.0,0.0,0.0,0.0,0.1326907957977221,0.008470461471207497,0.14689835829020312,0.003835003893506472,0.06610798643873624,0.0021256186306672885,3.314814814814815,0.138037514035885,-0.014207562492480967,0.005278204057462058,1.5105936635200943,0.0193781011416956,0.38088944537262304,0.012861873300011355
japanesevowels,csta_topk_uniform_top5,3,1.0,0.0,0.14607103034801747,0.010256901877504972,0.0761059476334351,0.0002849177623108792,0.17477365461878203,0.0017630344221452293,0.06996508271458234,0.009989231341429884,-0.0287026242707645,0.011981066762147018,0.8539289696519825,0.010256901877505028,0.9238940523665647,0.00028491776231083694,0.825226345381218,0.0017630344221451807,0.0,0.0,0.0,0.0,0.1326907957977221,0.008470461471207497,0.14689835829020312,0.003835003893506472,0.06610798643873624,0.0021256186306672885,3.010802469135802,0.16949334786438938,-0.0008273279421856331,0.007713060058152435,1.5105936635200943,0.0193781011416956,0.38088944537262304,0.012861873300011355
japanesevowels,pca_cov_state,3,1.0,0.0,,,,,0.17477365461878203,0.0017630344221452293,,,,,,,,,0.825226345381218,0.0017630344221451807,0.0,0.0,0.0,0.0,0.13269079579772206,0.008470461471207554,0.14689835829020312,0.003835003893506472,0.06610798643873621,0.0021256186306672954,,,,,1.5105936635200947,0.01937810114169578,0.380889445372623,0.012861873300011305
japanesevowels,random_cov_state,3,1.0,0.0,,,0.0761059476334351,0.0002849177623108792,,,,,,,,,0.9238940523665647,0.00028491776231083694,,,0.0,0.0,0.0,0.0,0.13269079579772206,0.008470461471207554,0.14689835829020312,0.003835003893506472,0.06610798643873621,0.0021256186306672954,,,,,1.5105936635200947,0.01937810114169578,0.380889445372623,0.012861873300011305
natops,csta_top1_current,3,1.0,0.0,0.09309489566324926,0.022654870159578868,0.020186617541307465,6.232980422029122e-05,0.14800834203531457,0.0018296488719511945,0.07290827812194177,0.02267842289760069,-0.054913446372065265,0.02437669273428467,0.9069051043367505,0.022654870159578795,0.9798133824586924,6.232980422031631e-05,0.8519916579646853,0.0018296488719511358,0.0,0.0,0.0,0.0,0.09309489566324926,0.022654870159578868,0.089550578503658,0.014044491101805435,0.04668806644269833,0.007109104768957055,2.8935185185185186,0.23614515005183612,0.003544317159591267,0.01387277902725915,2.4765756742620746,0.06493858772129729,0.684877846533506,0.3257927045094356
natops,csta_topk_uniform_top5,3,1.0,0.0,0.09078859284360492,0.01109808668758519,0.020186617541307465,6.232980422029122e-05,0.14800834203531457,0.0018296488719511945,0.07060197530229743,0.011145861180836025,-0.05721974919170957,0.01291510278266648,0.9092114071563951,0.011098086687585329,0.9798133824586924,6.232980422031631e-05,0.8519916579646853,0.0018296488719511358,0.0,0.0,0.0,0.0,0.09309489566324926,0.022654870159578868,0.089550578503658,0.014044491101805435,0.04668806644269833,0.007109104768957055,2.9814814814814814,0.07490134114520125,0.0012380143399469384,0.0033897625550653944,2.4765756742620746,0.06493858772129729,0.684877846533506,0.3257927045094356
natops,pca_cov_state,3,1.0,0.0,,,,,0.14800834203531457,0.0018296488719511945,,,,,,,,,0.8519916579646853,0.0018296488719511358,0.0,0.0,0.0,0.0,0.09309489566324926,0.022654870159578868,0.089550578503658,0.014044491101805435,0.04668806644269833,0.007109104768957055,,,,,2.4765756742620746,0.06493858772129721,0.684877846533506,0.32579270450943565
