anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
60,natops_train_118,0.5,mid,6,1.0,0.1,0.05,0.499999999995,2,5.720352900272051,0.00044404115728593373
60,natops_train_118,0.9,edge,6,1.0,0.1,0.09000000000000001,0.899999999991,2,5.7239863604173165,0.0004503263815108791
61,natops_train_23,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,3,5.530744241882657,0.0004420245548557161
61,natops_train_23,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,3,5.5271306058319905,0.00044546806796021815
61,natops_train_23,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.52290841965536,0.0004563494411681809
62,natops_train_121,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,0,5.763632724882335,0.0004420914794350012
62,natops_train_121,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,0,5.761991121777724,0.00044643726978955744
62,natops_train_121,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.761066440144984,0.00046079034197535454
63,natops_train_33,0.25,small,0,1.0,0.1,0.025,0.2499999999975,4,5.593858690638043,0.0004430043611185456
63,natops_train_33,0.5,mid,0,1.0,0.1,0.05,0.499999999995,4,5.59999999417648,0.0004479330002905559
63,natops_train_33,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,4,5.6088707255127455,0.0004618895875295646
64,natops_train_149,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,5,5.715651361639887,0.00044154964509249614
64,natops_train_149,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,5,5.713903288355091,0.0004439456450566063
64,natops_train_149,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,5,5.710267348760624,0.00045134876719483713
65,natops_train_164,0.25,small,5,1.0,0.1,0.025,0.2499999999975,5,5.617820047384368,0.00044235224051857806
65,natops_train_164,0.5,mid,5,1.0,0.1,0.05,0.499999999995,5,5.618732826720247,0.000446212711461158
65,natops_train_164,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,5,5.6197269400117325,0.00045763938777636974
66,natops_train_6,0.25,small,3,1.0,0.1,0.025,0.2499999999975,0,5.66775221581576,0.00044237751196595025
66,natops_train_6,0.5,mid,3,1.0,0.1,0.05,0.499999999995,0,5.6691822159704515,0.00044562088532690844
66,natops_train_6,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,0,5.672125730596147,0.0004547836568893073
67,natops_train_108,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,4,5.500566790032501,0.0004431942009427166
67,natops_train_108,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,4,5.502108315019441,0.000449555456181647
67,natops_train_108,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,4,5.506028495416241,0.00046886435686933236
68,natops_train_76,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,5.746227573571671,0.0004420716997514091
68,natops_train_76,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,5.744978527326063,0.00044599755529834334
68,natops_train_76,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,5.742868811978258,0.0004584292735530675
69,natops_train_80,0.25,small,8,1.0,0.1,0.025,0.2499999999975,5,6.056915116659064,0.0004416983871604013
69,natops_train_80,0.5,mid,8,1.0,0.1,0.05,0.499999999995,5,6.056524216008381,0.0004439844154188898
69,natops_train_80,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,5,6.055801981433254,0.00045079430144357954
70,natops_train_14,0.25,small,1,1.0,0.1,0.025,0.2499999999975,2,5.718141690608573,0.00044345015438275063
70,natops_train_14,0.5,mid,1,1.0,0.1,0.05,0.499999999995,2,5.719282658432414,0.0004504935126992616
70,natops_train_14,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,2,5.721338747428437,0.0004728533225317229
71,natops_train_130,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,0,5.68666808195507,0.00044188629848468283
71,natops_train_130,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,0,5.684676645911298,0.00044521534768451356
71,natops_train_130,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.682032557556428,0.0004560335858659017
72,natops_train_21,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,2,5.7334613926698195,0.00044142351742728215
72,natops_train_21,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,2,5.739815940189084,0.00044257134324624393
72,natops_train_21,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,2,5.749651859146582,0.00044558986690843586
73,natops_train_31,0.25,small,9,1.0,0.1,0.025,0.2499999999975,4,5.8239589634257625,0.0004430834302146183
73,natops_train_31,0.5,mid,9,1.0,0.1,0.05,0.499999999995,4,5.821369713641113,0.00045026384025104155
73,natops_train_31,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,4,5.8168875384676495,0.0004730969035440939
74,natops_train_144,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,0,5.790115814265915,0.00044161514629017986
74,natops_train_144,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,0,5.791962774285725,0.00044321790848612366
74,natops_train_144,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.794962764693362,0.00044764542873485024
75,natops_train_113,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,2,6.354064242667111,0.00044200453789707857
75,natops_train_113,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,2,6.357627531304385,0.00044476683000129537
75,natops_train_113,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,2,6.363917064466041,0.0004529589938365889
76,natops_train_104,0.25,small,8,1.0,0.1,0.025,0.2499999999975,1,6.05470661969482,0.0004418037956814999
76,natops_train_104,0.5,mid,8,1.0,0.1,0.05,0.499999999995,1,6.054662460504695,0.00044435866544552963
76,natops_train_104,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,1,6.05483820324789,0.0004522341031117009
77,natops_train_174,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,3,5.573942126135593,0.0004414358843563874
77,natops_train_174,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,3,5.57128883432351,0.0004435675258959227
77,natops_train_174,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,3,5.569584671354242,0.00045045598416965587
78,natops_train_168,0.25,small,4,1.0,0.1,0.025,0.2499999999975,1,6.016935592337447,0.00044243213616970223
78,natops_train_168,0.5,mid,4,1.0,0.1,0.05,0.499999999995,1,6.0165192947090285,0.0004474598872652983
78,natops_train_168,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,1,6.0158172201215985,0.0004634668853043422
79,natops_train_173,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,1,5.784474231520811,0.0004416436745795711
79,natops_train_173,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,1,5.784850675928653,0.00044405199569430743
79,natops_train_173,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,1,5.78488724223579,0.000451385918379306
80,natops_train_176,0.25,small,1,1.0,0.1,0.025,0.2499999999975,4,5.457112868717505,0.0004427086438281074
80,natops_train_176,0.5,mid,1,1.0,0.1,0.05,0.499999999995,4,5.457053220786972,0.0004472450115139105
80,natops_train_176,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,4,5.456216482023744,0.0004603610919124197
81,natops_train_38,0.25,small,0,1.0,0.1,0.025,0.2499999999975,3,5.691438388545451,0.00044313640113784436
81,natops_train_38,0.5,mid,0,1.0,0.1,0.05,0.499999999995,3,5.695590076711132,0.0004485435370199543
81,natops_train_38,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,3,5.702085559886134,0.0004641153574863152
82,natops_train_51,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,0,5.836429143176465,0.00044195553625481297
82,natops_train_51,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,0,5.8375597413992,0.0004456810756046198
82,natops_train_51,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,0,5.838626109630969,0.00045752687396774836
83,natops_train_82,0.25,small,7,-1.0,0.1,0.025,0.2499999999975,1,5.874227543470234,0.0004413989246580224
83,natops_train_82,0.5,mid,7,-1.0,0.1,0.05,0.499999999995,1,5.873216960868488,0.0004430159459204314
