dataset,prototype_geometry_mode,class_idx,tangent_source,requested_tangent_rank,actual_tangent_rank,rank95,effective_rank,top1_energy_ratio,top1_top2_spectral_gap,singular_values,energy_probs,cumulative_energy,run_dir
articularywordrecognition,center_subproto,3,subproto_offsets,3,3,4,3.877758026123047,0.30460286140441895,0.01265612244606018,"[1.0694658756256104, 1.047012209892273, 0.9707491397857666, 0.7566817402839661]","[0.30460286140441895, 0.29194673895835876, 0.25096559524536133, 0.15248483419418335]","[0.30460286140441895, 0.5965496301651001, 0.8475152254104614, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,4,subproto_offsets,3,3,4,3.954395294189453,0.2909006178379059,0.00975218415260315,"[1.0033071041107178, 0.9863462448120117, 0.8889008164405823, 0.831099271774292]","[0.2909006178379059, 0.28114843368530273, 0.2283407747745514, 0.1996101588010788]","[0.2909006178379059, 0.5720490217208862, 0.8003897666931152, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,5,subproto_offsets,3,3,4,3.9411227703094482,0.3033755421638489,0.025865137577056885,"[1.0585027933120728, 1.0123748779296875, 0.9111729264259338, 0.8471353650093079]","[0.3033755421638489, 0.277510404586792, 0.2248009294271469, 0.19431312382221222]","[0.3033755421638489, 0.5808859467506409, 0.805686891078949, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,6,subproto_offsets,3,3,4,3.8697969913482666,0.32843613624572754,0.03954187035560608,"[1.0818002223968506, 1.014591097831726, 0.8835067749023438, 0.7635138034820557]","[0.32843613624572754, 0.28889426589012146, 0.2190668135881424, 0.16360275447368622]","[0.32843613624572754, 0.6173304319381714, 0.8363972306251526, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,7,subproto_offsets,3,3,4,3.7523393630981445,0.3619695007801056,0.0514015257358551,"[1.146519660949707, 1.0619983673095703, 0.8029934763908386, 0.7378314733505249]","[0.3619695007801056, 0.3105679750442505, 0.17755503952503204, 0.14990748465061188]","[0.3619695007801056, 0.6725374460220337, 0.8500924706459045, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,8,subproto_offsets,3,3,4,3.8868372440338135,0.3169006109237671,0.01497998833656311,"[1.006569743156433, 0.9824913144111633, 0.7831932902336121, 0.7780094742774963]","[0.3169006109237671, 0.301920622587204, 0.1918550729751587, 0.18932375311851501]","[0.3169006109237671, 0.6188212633132935, 0.8106763362884521, 1.0000001192092896]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,9,subproto_offsets,3,3,4,3.9434561729431152,0.2885572612285614,0.004786163568496704,"[1.0229861736297607, 1.0144667625427246, 0.9368091225624084, 0.8206160664558411]","[0.2885572612285614, 0.2837710976600647, 0.24198849499225616, 0.18568316102027893]","[0.2885572612285614, 0.5723283290863037, 0.8143168091773987, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,10,subproto_offsets,3,3,4,3.8362436294555664,0.3210633099079132,0.029345154762268066,"[1.1295984983444214, 1.0767390727996826, 0.9926123023033142, 0.7440646886825562]","[0.3210633099079132, 0.29171815514564514, 0.24791443347930908, 0.13930408656597137]","[0.3210633099079132, 0.6127814650535583, 0.8606958985328674, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,11,subproto_offsets,3,3,4,3.9274044036865234,0.29927510023117065,0.006307065486907959,"[1.0206544399261475, 1.0098422765731812, 0.8736874461174011, 0.8099480867385864]","[0.29927510023117065, 0.2929680347442627, 0.2192932665348053, 0.18846361339092255]","[0.29927510023117065, 0.5922431349754333, 0.811536431312561, 1.0]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
articularywordrecognition,center_subproto,12,subproto_offsets,3,3,4,3.9822330474853516,0.27712804079055786,0.01643320918083191,"[0.9541109204292297, 0.9253901243209839, 0.9037687182426453, 0.8374906778335571]","[0.27712804079055786, 0.26069483160972595, 0.24865508079528809, 0.2135220170021057]","[0.27712804079055786, 0.5378228425979614, 0.7864779233932495, 0.9999999403953552]",/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_tangent_probe_20260418/e2/stage2_resnet1d_e2_center_subproto_tangent_probe_tau1p0_rank3_articularywordrecognition_seed1
