dataset,method,macro_f1_mean,macro_f1_std_over_seeds,gain_vs_no_aug,rank_in_dataset,is_dataset_winner,gap_vs_best_external_dataset,actual_aug_ratio,method_elapsed_sec_mean,fallback_count_mean,n_seeds,best_external_method,best_external_f1
handmovementdirection,wdba_sameclass,0.36940528831465413,0.014446574582233166,0.1597140137466375,1.0,True,0.0,10.0,64.24466732266592,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,dba_sameclass,0.35262496501639,0.037151630532860934,0.14293369044837337,2.0,False,-0.01678032329826412,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,spawner_sameclass_style,0.3455964052039886,0.013271610563927401,0.13590513063597195,3.0,False,-0.023808883110665535,10.0,10.352976430993294,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_timewarp,0.3190067059621496,0.026954824544366294,0.10931543139413294,4.0,False,-0.05039858235250455,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,best_rawaug,0.3181931937419931,0.02805158421564362,0.10850191917397647,5.0,False,-0.051212094572661016,10.0,2.706000124017009,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_jitter,0.3125325544058762,0.026712757086128004,0.10284127983785954,6.0,False,-0.05687273390877795,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_window_warping,0.3070897314560712,0.08215857111104821,0.09739845688805457,7.0,False,-0.06231555685858292,10.0,2.979615434334846,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,pca_cov_state,0.2976569238271552,0.04837749046066795,0.08796564925913855,8.0,False,-0.07174836448749894,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,random_cov_state,0.2903481591789633,0.040230056358109334,0.08065688461094664,9.0,False,-0.07905712913569085,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_window_slicing,0.28126781782257604,0.017050805253326255,0.0715765432545594,10.0,False,-0.0881374704920781,10.0,4.142624220675013,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_magnitude_warping,0.27583652578717216,0.041727114667222114,0.06614525121915552,11.0,False,-0.09356876252748197,10.0,5.415044712998982,0.0,3,wdba_sameclass,0.36940528831465413
handmovementdirection,csta_top1_current,0.2754524178509126,0.02892505053709172,0.06576114328289598,12.0,False,-0.09395287046374151,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_aug_scaling,0.27388358281767594,0.025896625371919803,0.0641923082496593,13.0,False,-0.0955217054969782,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,csta_group_template_top,0.2688544678780615,0.02738903892000417,0.059163193310044854,14.0,False,-0.10055082043659264,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_mixup,0.21315913469358572,0.07213036881963622,0.003467860125569072,15.0,False,-0.15624615362106842,10.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,no_aug,0.20969127456801664,0.026078629474673803,0.0,16.5,False,-0.1597140137466375,0.0,,,3,wdba_sameclass,0.36940528831465413
handmovementdirection,raw_smote_flatten_balanced,0.20969127456801664,0.026078629474673803,0.0,16.5,False,-0.1597140137466375,0.0,,,3,wdba_sameclass,0.36940528831465413
handwriting,raw_aug_jitter,0.49712026897310563,0.034080158130095795,0.09702025128532932,1.0,True,0.0,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,best_rawaug,0.4846167604834049,0.02552191348946427,0.0845167427956286,2.0,False,-0.012503508489700721,10.0,,,3,raw_aug_jitter,0.49712026897310563
handwriting,raw_aug_window_warping,0.4823780564639299,0.024588247869449284,0.08227803877615358,3.0,False,-0.014742212509175734,10.0,2.3670222090052753,0.0,3,raw_aug_jitter,0.49712026897310563
handwriting,csta_group_template_top,0.476070456900701,0.015210879828974897,0.07597043921292468,4.0,False,-0.02104981207240464,10.0,,,3,raw_aug_jitter,0.49712026897310563
