anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
35,handwriting_train_133,0.9,edge,3,-1.0,0.1,0.09000000000000001,0.899999999991,20,9.948032843228162e-05,0.00015379960545978616
36,handwriting_train_76,0.25,small,9,1.0,0.1,0.025,0.2499999999975,6,6.074045929230805e-05,0.00015620154760281592
36,handwriting_train_76,0.5,mid,9,1.0,0.1,0.05,0.499999999995,6,6.0746158463639336e-05,0.0001566784724001571
36,handwriting_train_76,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,6,6.0745506772775445e-05,0.00015776569761690492
37,handwriting_train_93,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,11,6.840945825271716e-05,0.00015460219927760627
37,handwriting_train_93,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,11,6.811617293333663e-05,0.0001534573999683441
37,handwriting_train_93,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,11,6.762714180016316e-05,0.00015190180841933895
38,handwriting_train_109,0.25,small,8,1.0,0.1,0.025,0.2499999999975,6,0.00010764527392446287,0.000157171905847225
38,handwriting_train_109,0.5,mid,8,1.0,0.1,0.05,0.499999999995,6,0.00010744166428272124,0.00015860543835354368
38,handwriting_train_109,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,6,0.00010710248086850813,0.000161208799100324
39,handwriting_train_86,0.25,small,3,1.0,0.1,0.025,0.2499999999975,2,8.577611242179013e-05,0.0001567913798586748
39,handwriting_train_86,0.5,mid,3,1.0,0.1,0.05,0.499999999995,2,8.581721953237678e-05,0.00015785014868373583
39,handwriting_train_86,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,2,8.587498722053043e-05,0.00015986994941874873
40,handwriting_train_129,0.25,small,3,1.0,0.1,0.025,0.2499999999975,5,6.393663799520246e-05,0.00015678676061464184
40,handwriting_train_129,0.5,mid,3,1.0,0.1,0.05,0.499999999995,5,6.411863407910552e-05,0.00015783137091308265
40,handwriting_train_129,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,5,6.439659874643566e-05,0.00015980770583599513
41,handwriting_train_33,0.25,small,2,1.0,0.1,0.025,0.2499999999975,0,5.908553436583002e-05,0.00015730708399037095
41,handwriting_train_33,0.5,mid,2,1.0,0.1,0.05,0.499999999995,0,5.916356950831105e-05,0.00015887218750088616
41,handwriting_train_33,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,0,5.9284111171133094e-05,0.00016168259594166105
