anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
24,handwriting_train_70,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,8,-1.0,0.05,0.025,0.49999999999,0.4999999999925,9,6.302193883723974e-05,0.00015543307222758027,0.0019561274642263186,0.00015508926070428733,0.0010095747015317791
24,handwriting_train_70,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,8,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,9,6.288046992848262e-05,0.00015558477630978447,0.001958662693051026,0.00015453103511803463,0.0010107715814897545
25,handwriting_train_39,0.25,small,0,1.0,0.1,0.025,0.2499999999975,1,1.0,0.05,0.0125,0.249999999995,0.24999999999625,11,0.00012141346159847214,0.00015795031435175604,0.002350075165547914,0.00015576520991416833,0.001235744313573193
25,handwriting_train_39,0.5,mid,0,1.0,0.1,0.05,0.499999999995,1,1.0,0.05,0.025,0.49999999999,0.4999999999925,11,0.00012162694387445081,0.0001601185358596425,0.0023483454467293297,0.00015568314673822717,0.0012349861953018903
25,handwriting_train_39,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,1,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,11,0.00012196170612805211,0.00016380910136675345,0.002345483943667297,0.0001556282989324045,0.0012337228248976745
26,handwriting_train_117,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,3,1.0,0.05,0.0125,0.249999999995,0.24999999999625,1,5.566128338595822e-05,0.00015573008252249651,0.0009446631491772575,0.0001558606411967084,0.0005001622162816078
26,handwriting_train_117,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,3,1.0,0.05,0.025,0.49999999999,0.4999999999925,1,5.5519813730306995e-05,0.00015574046757556656,0.0009446300391465157,0.00015587079815921278,0.0005000749264384113
26,handwriting_train_117,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,3,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,1,5.5285881460359195e-05,0.00015610741665559745,0.0009445461289157344,0.00015595722649360932,0.0004999160051880468
27,handwriting_train_118,0.25,small,5,1.0,0.1,0.025,0.2499999999975,1,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,17,7.242704994111632e-05,0.00015637761769202638,0.0008544341033129779,0.00015604052888324382,0.00046343057662704714
27,handwriting_train_118,0.5,mid,5,1.0,0.1,0.05,0.499999999995,1,-1.0,0.05,0.025,0.49999999999,0.4999999999925,17,7.271028009811582e-05,0.0001570466864314017,0.0008546411472927223,0.00015623227445454987,0.0004636757136954191
