dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,mba_f1,gain,f1_gain_pct,base_stop_epoch,mba_stop_epoch,base_best_val_f1,mba_best_val_f1
racketsports,1,success,,10,10,4.0,21.0,120.0,120.0,lraes,resnet1d,0.8831455399061033,0.8843465202982601,0.0012009803921567,0.1359889397500121,26.0,22.0,0.9388888888888888,0.9705882352941176
racketsports,2,success,,10,10,4.0,21.0,120.0,120.0,lraes,resnet1d,0.8780965202982601,0.8734204793028322,-0.0046760409954279,-0.5325200994213666,30.0,30.0,0.9701754385964912,0.9388888888888888
racketsports,3,success,,10,10,4.0,21.0,120.0,120.0,lraes,resnet1d,0.8954056968615202,0.8722141673570837,-0.0231915295044364,-2.590058003390745,30.0,29.0,0.9105263157894736,0.9409722222222222
selfregulationscp2,1,success,,10,6,2.0,28.0,160.0,160.0,lraes,resnet1d,0.4999382639832078,0.5233892321270962,0.0234509681438884,4.69077186976515,25.0,25.0,0.4884910485933503,0.5523370638578011
selfregulationscp2,2,success,,10,6,2.0,28.0,160.0,160.0,lraes,resnet1d,0.4562610943290461,0.47125,0.0149889056709539,3.285158996043002,30.0,22.0,0.5989974937343359,0.5247029393370857
selfregulationscp2,3,success,,10,6,2.0,28.0,160.0,160.0,lraes,resnet1d,0.4420719107315057,0.4909090909090909,0.0488371801775851,11.047335952523492,30.0,14.0,0.6153846153846154,0.6228786926461345
uwavegesturelibrary,1,success,,10,10,8.0,6.0,96.0,96.0,lraes,resnet1d,0.7870858386307427,0.8050614912395333,0.0179756526087906,2.283823370045469,30.0,30.0,0.9142857142857144,0.9142857142857144
uwavegesturelibrary,2,success,,10,10,8.0,6.0,96.0,96.0,lraes,resnet1d,0.7230352083432424,0.7669846993987527,0.0439494910555102,6.078470933351208,30.0,30.0,0.8642857142857143,0.9142857142857144
uwavegesturelibrary,3,success,,10,10,8.0,6.0,96.0,96.0,lraes,resnet1d,0.7212980127245616,0.7793373348508494,0.0580393221262878,8.046509633451793,30.0,30.0,0.8309523809523809,0.9017857142857144
articularywordrecognition,1,success,,10,10,25.0,45.0,220.0,220.0,lraes,patchtst,0.9700664437012262,0.940072507202942,-0.0299939364982841,-3.091946288946763,100.0,17.0,0.9573333333333334,0.9436190476190476
articularywordrecognition,2,success,,10,10,25.0,45.0,220.0,220.0,lraes,patchtst,0.9559579371889322,0.962967872707003,0.0070099355180708,0.733289040456638,100.0,17.0,0.9068571428571428,0.9626666666666666
articularywordrecognition,3,success,,10,10,25.0,45.0,220.0,220.0,lraes,patchtst,0.966653842775582,0.9264957761545468,-0.0401580666210349,-4.154337435972992,23.0,17.0,0.984,0.9786666666666668
atrialfibrillation,1,success,,10,9,3.0,3.0,12.0,12.0,lraes,patchtst,0.3632119514472456,0.4349206349206349,0.0717086834733892,19.74292515561107,100.0,100.0,0.1666666666666666,0.1666666666666666
atrialfibrillation,2,success,,10,9,3.0,3.0,12.0,12.0,lraes,patchtst,0.3275613275613275,0.3111111111111111,-0.0164502164502164,-5.022024898562439,31.0,17.0,1.0,0.2222222222222222
atrialfibrillation,3,success,,10,9,3.0,3.0,12.0,12.0,lraes,patchtst,0.2094017094017094,0.2649572649572649,0.0555555555555555,26.530599575183057,17.0,18.0,0.5555555555555555,0.3333333333333333
basicmotions,1,success,,10,10,4.0,21.0,32.0,32.0,lraes,patchtst,0.3290679908326967,0.60472334682861,0.2756553559959132,83.7684855126414,19.0,100.0,0.4583333333333332,0.5595238095238095
basicmotions,2,success,,10,10,4.0,21.0,32.0,32.0,lraes,patchtst,0.6048666214906624,0.6407844074084482,0.0359177859177858,5.938132259825491,40.0,44.0,0.5595238095238095,0.5595238095238095
basicmotions,3,success,,10,10,4.0,21.0,32.0,32.0,lraes,patchtst,0.6241071428571429,0.3714792152292152,-0.2526279276279276,-40.47828806975627,29.0,16.0,0.6428571428571428,0.65
cricket,1,success,,10,10,12.0,21.0,86.0,86.0,lraes,patchtst,0.802340203655993,0.8012810718693072,-0.0010591317866858,-0.1320053077054354,23.0,100.0,0.8722222222222222,0.7444444444444444
cricket,2,success,,10,10,12.0,21.0,86.0,86.0,lraes,patchtst,0.7819007381507381,0.7952020202020201,0.013301282051282,1.7011469232774663,100.0,22.0,0.861111111111111,0.8722222222222222
cricket,3,success,,10,10,12.0,21.0,86.0,86.0,lraes,patchtst,0.7847513597513597,0.8429579192737088,0.0582065595223491,7.417196718664434,100.0,100.0,0.8722222222222222,0.9555555555555556
epilepsy,1,success,,10,10,4.0,6.0,109.0,109.0,lraes,patchtst,0.8439922087463071,0.93335945469151,0.0893672459452028,10.588632742157545,100.0,100.0,0.7784313725490195,0.9666666666666668
epilepsy,2,success,,10,10,4.0,6.0,109.0,109.0,lraes,patchtst,0.8885745656877581,0.82114129687222,-0.067433268815538,-7.58892543524686,100.0,100.0,0.8517857142857144,0.8115079365079365
epilepsy,3,success,,10,10,4.0,6.0,109.0,109.0,lraes,patchtst,0.832978705306727,0.918990049498524,0.0860113441917971,10.325754226138471,100.0,100.0,0.8428758741258742,0.8839743589743589
ering,1,success,,10,10,6.0,10.0,24.0,24.0,lraes,patchtst,0.9668015515670696,0.9629883194243536,-0.0038132321427162,-0.3944172143826435,100.0,100.0,1.0,1.0
ering,2,success,,10,10,6.0,10.0,24.0,24.0,lraes,patchtst,0.9404501973406884,0.9518259504235616,0.0113757530828731,1.2096070483512438,100.0,100.0,1.0,1.0
ering,3,success,,10,10,6.0,10.0,24.0,24.0,lraes,patchtst,0.9444999303114098,0.9478184798518982,0.0033185495404883,0.3513551544719618,100.0,100.0,1.0,1.0
ethanolconcentration,1,success,,10,10,4.0,6.0,208.0,208.0,lraes,patchtst,0.1716041255211762,0.1479050479050478,-0.0236990776161283,-13.810311222903907,20.0,25.0,0.195054945054945,0.1625
ethanolconcentration,2,success,,10,10,4.0,6.0,208.0,208.0,lraes,patchtst,0.1396089814166082,0.15225350660066,0.0126445251840517,9.05709360433308,32.0,30.0,0.1348958333333333,0.1896662387676508
ethanolconcentration,3,success,,10,10,4.0,6.0,208.0,208.0,lraes,patchtst,0.1405282331511839,0.1437736575351254,0.0032454243839414,2.309444872195258,23.0,34.0,0.1246498599439775,0.1427955133735979
fingermovements,1,success,,10,6,2.0,406.0,252.0,252.0,lraes,patchtst,0.537037037037037,0.5242433444680635,-0.0127936925689734,-2.3822733451096747,22.0,23.0,0.624633431085044,0.6046454163577959
fingermovements,2,success,,10,6,2.0,406.0,252.0,252.0,lraes,patchtst,0.5169082125603865,0.4391025641025641,-0.0778056484578224,-15.052117864468084,29.0,20.0,0.5696139476961395,0.6405372405372405
fingermovements,3,success,,10,6,2.0,406.0,252.0,252.0,lraes,patchtst,0.4747474747474747,0.4162640901771336,-0.058483384570341,-12.31883798489108,18.0,19.0,0.5586206896551724,0.5458771715194519
handmovementdirection,1,success,,10,10,4.0,55.0,128.0,128.0,lraes,patchtst,0.4783041101055807,0.4748814112782463,-0.0034226988273343,-0.7155903617446403,25.0,42.0,0.3466513878278584,0.3916666666666666
handmovementdirection,2,success,,10,10,4.0,55.0,128.0,128.0,lraes,patchtst,0.3142949249332228,0.4393356643356643,0.1250407394024414,39.78451120217651,19.0,19.0,0.61,0.4676470588235294
handmovementdirection,3,success,,10,10,4.0,55.0,128.0,128.0,lraes,patchtst,0.448611111111111,0.4310873056118999,-0.0175238054992111,-3.906234410818338,20.0,22.0,0.3494111152005889,0.3437441643323996
handwriting,1,success,,10,10,26.0,6.0,120.0,120.0,lraes,patchtst,0.1895413022345083,0.2115046932765203,0.021963391042012,11.587648283216776,25.0,100.0,0.1805555555555555,0.1805555555555555
