split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,24,fixed,same_only,pooled,0.00040922610787674785,1710905.0,0.009999999776482582,4.9056901931762695
train,1,0,-1,25,fixed,same_only,pooled,0.00041097518987953663,1638820.375,0.009999999776482582,4.940988540649414
train,1,0,-1,26,fixed,same_only,pooled,0.0004085143154952675,1655697.125,0.009999999776482582,4.9293670654296875
train,1,0,-1,27,fixed,same_only,pooled,0.00041100551607087255,1596319.125,0.009999999776482582,4.947420597076416
train,1,0,-1,28,fixed,same_only,pooled,0.0004111959715373814,1618022.875,0.009999999776482582,4.94648551940918
train,1,0,-1,29,fixed,same_only,pooled,0.00041126905125565827,1584136.875,0.009999999776482582,4.95237922668457
train,1,0,-1,30,fixed,same_only,pooled,0.0004106918931938708,1678990.25,0.009999999776482582,4.93267297744751
train,1,0,-1,31,fixed,same_only,pooled,0.00040187951526604593,2443853.5,0.009999999776482582,4.646010875701904
train,1,1,-1,0,fixed,same_only,pooled,0.0004253474180586636,1773858.125,0.009999999776482582,4.979223728179932
train,1,1,-1,1,fixed,same_only,pooled,0.0004325103363953531,2928628.5,0.009999999776482582,4.7273478507995605
train,1,1,-1,2,fixed,same_only,pooled,0.0004265066236257553,1842958.875,0.009999999776482582,4.979587078094482
train,1,1,-1,3,fixed,same_only,pooled,0.0004245451418682933,1773957.75,0.009999999776482582,4.964817047119141
train,1,1,-1,4,fixed,same_only,pooled,0.00042530393693596125,1782886.125,0.009999999776482582,4.9751081466674805
train,1,1,-1,5,fixed,same_only,pooled,0.0004253167426213622,1793073.875,0.009999999776482582,4.9745988845825195
train,1,1,-1,6,fixed,same_only,pooled,0.0004251117934472859,1773363.75,0.009999999776482582,4.975281238555908
train,1,1,-1,7,fixed,same_only,pooled,0.000425736274337396,1837886.875,0.009999999776482582,4.972999095916748
train,1,1,-1,8,fixed,same_only,pooled,0.00043010676745325327,2016483.5,0.009999999776482582,4.9759840965271
train,1,1,-1,9,fixed,same_only,pooled,0.0004270062781870365,1855936.125,0.009999999776482582,4.981210708618164
train,1,1,-1,10,fixed,same_only,pooled,0.0004255994572304189,1771308.25,0.009999999776482582,4.981044292449951
train,1,1,-1,11,fixed,same_only,pooled,0.0004252720682416111,1774507.25,0.009999999776482582,4.97822380065918
train,1,1,-1,12,fixed,same_only,pooled,0.0004269495839253068,1879183.0,0.009999999776482582,4.977885723114014
train,1,1,-1,13,fixed,same_only,pooled,0.00042768329149112105,1894909.375,0.009999999776482582,4.9806013107299805
train,1,1,-1,14,fixed,same_only,pooled,0.0004242870199959725,1706833.25,0.009999999776482582,4.974484443664551
train,1,1,-1,15,fixed,same_only,pooled,0.0004293719830457121,1969669.25,0.009999999776482582,4.979125499725342
train,1,1,-1,16,fixed,same_only,pooled,0.0004476424655877054,2947985.0,0.009999999776482582,4.648264408111572
train,1,1,-1,17,fixed,same_only,pooled,0.00042249588295817375,1817640.875,0.009999999776482582,4.9407525062561035
train,1,1,-1,18,fixed,same_only,pooled,0.000425929029006511,1839798.5,0.009999999776482582,4.972955226898193
train,1,1,-1,19,fixed,same_only,pooled,0.0004246264579705894,1739680.0,0.009999999776482582,4.974324703216553
train,1,1,-1,20,fixed,same_only,pooled,0.00042368739377707243,1714853.25,0.009999999776482582,4.966312408447266
train,1,1,-1,21,fixed,same_only,pooled,0.0004284842871129513,1948437.125,0.009999999776482582,4.979085445404053
train,1,1,-1,22,fixed,same_only,pooled,0.000424706086050719,1721469.75,0.009999999776482582,4.977303981781006
train,1,1,-1,23,fixed,same_only,pooled,0.0004244101291988045,1710449.5,0.009999999776482582,4.975977897644043
train,1,1,-1,24,fixed,same_only,pooled,0.00042453056084923446,1762566.5,0.009999999776482582,4.967084884643555
train,1,1,-1,25,fixed,same_only,pooled,0.0004261431167833507,1850575.375,0.009999999776482582,4.975533962249756
train,1,1,-1,26,fixed,same_only,pooled,0.00043453180114738643,2241194.75,0.009999999776482582,4.942205905914307
train,1,1,-1,27,fixed,same_only,pooled,0.0004259896813891828,1792508.5,0.009999999776482582,4.9821038246154785
