split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,1,-1,3,trace_adaptive,same_only,pooled,0.00046662369277328253,1821287.75,4.666236691264203e-06,8.076739311218262
train,1,1,-1,4,trace_adaptive,same_only,pooled,0.00047306891065090895,2002462.375,4.730688942800043e-06,8.076626777648926
train,1,1,-1,5,trace_adaptive,same_only,pooled,0.0004696330288425088,1770836.0,4.6963300519564655e-06,8.07669734954834
train,1,1,-1,6,trace_adaptive,same_only,pooled,0.00047143924166448414,1986939.5,4.714392161986325e-06,8.076531410217285
train,1,1,-1,7,trace_adaptive,same_only,pooled,0.0004661109414882958,2324617.5,4.661109414882958e-06,8.076339721679688
train,1,1,-1,8,trace_adaptive,same_only,pooled,0.00047485632239840925,2115655.25,4.7485632421739865e-06,8.07658576965332
train,1,1,-1,9,trace_adaptive,same_only,pooled,0.00047404138604179025,2028119.25,4.74041371489875e-06,8.07659912109375
train,1,1,-1,10,trace_adaptive,same_only,pooled,0.00047457244363613427,2044273.125,4.745724254462402e-06,8.076593399047852
train,1,1,-1,11,trace_adaptive,same_only,pooled,0.00046498983283527195,1843170.5,4.649898073694203e-06,8.076744079589844
train,1,1,-1,12,trace_adaptive,same_only,pooled,0.0004660928389057517,1825192.75,4.660928425437305e-06,8.076726913452148
train,1,1,-1,13,trace_adaptive,same_only,pooled,0.0004695323295891285,1772620.875,4.695323241321603e-06,8.076709747314453
train,1,1,-1,14,trace_adaptive,same_only,pooled,0.0004656309320125729,1859297.625,4.656309101847e-06,8.076743125915527
train,1,1,-1,15,trace_adaptive,same_only,pooled,0.00047474884195253253,2142471.0,4.747488219436491e-06,8.076545715332031
train,1,1,-1,16,trace_adaptive,same_only,pooled,0.0004713783273473382,2008138.0,4.713783255283488e-06,8.07652473449707
train,1,1,-1,17,trace_adaptive,same_only,pooled,0.00047139127855189145,1994310.875,4.713912858278491e-06,8.076509475708008
train,1,1,-1,18,trace_adaptive,same_only,pooled,0.0004762644530273974,2208507.0,4.762644493894186e-06,8.076546669006348
train,1,1,-1,19,trace_adaptive,same_only,pooled,0.0004690552013926208,1804489.875,4.690552032116102e-06,8.076703071594238
