anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
125,natops_train_120,2,0,6,1.0,0.1,0.1,1.0,2.297572563349517,0.99999999999,4.595145126703629,lraes,lraes,lraes,0.00044791473945360696,4.211584003029809,1.3227944336246993,0.45057371453573886,3.009608030319214,0.9530063029628237
77,natops_train_121,0,0,2,-1.0,0.1,0.1,1.0,2.628859282376254,0.99999999999,5.257718564757766,lraes,lraes,lraes,0.00044442688723096783,3.935122726385083,1.1397098460426809,0.2562410916658968,3.6097381114959717,0.9736539632642139
98,natops_train_122,2,0,1,-1.0,0.1,0.1,1.0,2.068163973692665,0.99999999999,4.136327947389467,lraes,lraes,lraes,0.00044033350869886683,4.828222259493156,1.2955024383814673,0.3787574548242129,3.112366199493408,0.9573999663852135
20,natops_train_124,0,0,7,1.0,0.1,0.1,1.0,2.407786810603535,0.99999999999,4.815573621211886,lraes,lraes,lraes,0.0004461614711912897,4.117168054835507,1.2614916886807306,0.4338089599067017,4.479916572570801,0.9887926691959006
102,natops_train_126,1,0,8,1.0,0.1,0.1,1.0,2.198211321612358,0.99999999999,4.396422643229113,lraes,lraes,lraes,0.00045007412921032507,4.198352777168889,1.4515019013342698,0.5790266835438723,2.378618001937866,0.9151822199674086
61,natops_train_127,0,0,2,1.0,0.1,0.1,1.0,2.4469553098188634,0.99999999999,4.893910619642622,lraes,lraes,lraes,0.0004404896421109039,4.823613588406737,1.134432095275553,0.2433576066454246,3.0842230319976807,0.9562372491294513
46,natops_train_129,3,0,8,1.0,0.1,0.1,1.0,2.9581685931929753,0.99999999999,5.916337186391868,lraes,lraes,lraes,0.0004450608734369197,0.9213121853929976,1.1924983797488684,0.3430891881433088,3.359147310256958,0.9664031024710891
100,natops_train_13,5,0,6,-1.0,0.1,0.1,1.0,3.7117042490637657,0.99999999999,7.423408498134956,lraes,lraes,lraes,0.00044088339657536726,1.3015850496421009,1.1571212091281688,0.29228015830321624,4.290036678314209,0.9864808495188065
3,natops_train_130,0,0,2,1.0,0.1,0.1,1.0,2.9422256449571873,0.99999999999,5.88445128992026,lraes,lraes,lraes,0.0004410712432797786,3.674883759198295,1.1948517793888995,0.2864279831868984,4.119635105133057,0.9840094110911333
135,natops_train_131,1,0,9,1.0,0.1,0.1,1.0,2.2694805226540677,0.99999999999,4.538961045312675,lraes,lraes,lraes,0.00044486782207594415,5.149589618475694,1.2312785906321577,0.3409425760086593,2.2740817070007324,0.9067076285243186
26,natops_train_132,4,0,4,-1.0,0.1,0.1,1.0,2.9861502117917786,0.99999999999,5.97230042358953,lraes,lraes,lraes,0.00044465202590676504,1.210827126080413,1.2857790751223537,0.4371820710327501,1.461061716079712,0.8116950077838013
9,natops_train_133,5,0,3,1.0,0.1,0.1,1.0,3.71652708205458,0.99999999999,7.433054164116594,lraes,lraes,lraes,0.0004430202308081473,2.009023772963973,1.1266897098143784,0.25574185883722844,3.4323949813842773,0.9687017619409645
134,natops_train_134,5,0,3,-1.0,0.1,0.1,1.0,3.482103353611624,0.99999999999,6.964206707230213,lraes,lraes,lraes,0.00044206292712277467,1.153473421254412,1.1188973238836208,0.25440954844061703,4.143924713134766,0.9843871460266992
31,natops_train_135,0,0,0,1.0,0.1,0.1,1.0,2.872693222848891,0.99999999999,5.745386445703527,lraes,lraes,lraes,0.00044929396271512097,4.613820771823762,1.3157587530472872,0.4589688158263145,3.9565908908843994,0.981230807686193
42,natops_train_136,5,0,9,1.0,0.1,0.1,1.0,4.253625107531223,0.99999999999,8.507250215070954,lraes,lraes,lraes,0.00044649864155475597,1.8212802806476376,1.2789556207742212,0.4287617434362283,3.688385009765625,0.9755979878491284
65,natops_train_137,3,0,2,-1.0,0.1,0.1,1.0,3.114809734926838,0.99999999999,6.229619469859907,lraes,lraes,lraes,0.00044547391281575023,0.7006157127642362,1.1928631960876137,0.32789352523482873,3.8947556018829346,0.9800574509673876
