dataset,label,arm,prototype_geometry_mode,subproto_temperature,run_dir,local_acc,final_acc,final_override_rate,helpful_override_rate,harmful_override_rate,subproto_weight_entropy_mean,same_weight_max_mean,subproto_cos_top1_top2_gap_mean,subproto_top1_occupancy_entropy,subproto_usage_effective_count,subproto_pairwise_cos_mean
pendigits,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_pendigits_seed1,0.9848484848484849,0.9882790165809033,0.0002858776443682104,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
pendigits,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_pendigits_seed1,0.9854202401372213,0.985134362492853,0.0017152658662092624,0.0011435105774728416,0.0005717552887364208,0.9983052864559996,0.270341447987442,0.06422177663316823,0.9087202329760143,3.524553405667217,0.7423362851142883
pendigits,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_pendigits_seed1,0.9805603201829617,0.9877072612921669,0.002572898799313894,0.0002858776443682104,0.0017152658662092624,0.9931564936984124,0.289206786589189,0.05856215522298137,0.8868943505441397,3.4195078495137112,0.735768300294876
pendigits,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_pendigits_seed1,0.983704974271012,0.9845626072041166,0.002858776443682104,0.002001143510577473,0.0002858776443682104,0.9626232223929235,0.34880449715309514,0.0604210605950288,0.8256121924668536,3.1410009621893344,0.7471311330795288
pendigits,center_subproto_tau0.1,e2,center_subproto,0.1,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p1_pendigits_seed1,0.9897084048027445,0.9914236706689536,0.0008576329331046312,0.0005717552887364208,0.0,0.8751031963432633,0.4504520239882499,0.05863011533819382,0.909497266622199,3.528352090897941,0.7446940660476684
racketsports,E0,e0,flat,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e0/stage2_resnet1d_e0_behavioral_racketsports_seed1,,0.8881578947368421,,,,,,,,,
racketsports,center_only,e2,center_only,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_only_racketsports_seed1,0.8618421052631579,0.8421052631578947,0.013157894736842105,0.0,0.013157894736842105,0.0,1.0,0.0,0.0,1.0,1.0
racketsports,center_subproto_tau1.0,e2,center_subproto,1.0,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau1p0_racketsports_seed1,0.7368421052631579,0.75,0.019736842105263157,0.006578947368421052,0.013157894736842105,0.9993593688858183,0.2636505339882876,0.03940499789620701,0.47076800996282836,1.92057196018482,0.6027081906795502
racketsports,center_subproto_tau0.5,e2,center_subproto,0.5,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p5_racketsports_seed1,0.3355263157894737,0.35526315789473684,0.006578947368421052,0.0,0.006578947368421052,0.9979691626994234,0.2778719196978368,0.048334829607292226,0.3461904127306515,1.615948057655277,0.6041076928377151
racketsports,center_subproto_tau0.2,e2,center_subproto,0.2,/home/THL/project/MTS-PIA/out/_active/verify_resnet1d_dlcr_behavioral_matrix_20260418/e2/stage2_resnet1d_e2_center_subproto_tau0p2_racketsports_seed1,0.8421052631578947,0.8486842105263158,0.013157894736842105,0.006578947368421052,0.006578947368421052,0.9829559671251398,0.3254056223913243,0.04388121471397186,0.7505721641668691,2.830671489065794,0.6046630144119263
