anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,edit_mode,edit_basis,edit_alpha_scale,edit_alpha,edit_norm,edit_energy,edit_basis_fro_norm,edit_status_code,transport_error_fro,transport_error_logeuc,recolor_transport_error_fro,recolor_transport_error_logeuc,bridge_cond_A,margin_aug
89,handwriting_train_133,20,0,1,1.0,0.1,0.08797483949829144,1.0,0.08797483949829144,0.8797483949741167,0.17594967899675884,line,whitened_pca,0.25,3.072051431861127,3.0720514318611234,0.24999999999997938,1.0,1.0,0.7739945644188576,0.4462072050983576,0.7739945644188576,0.4462072050983576,1.0749104883462934,0.3472062051296234
83,handwriting_train_134,5,0,4,1.0,0.1,0.1,0.9999999403953552,0.10088075327266798,0.99999999999,0.20176149451961478,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.7310875307310496,0.44610713213136555,0.7310875307310496,0.44610713213136555,1.099667428770616,1.805680274963379
95,handwriting_train_135,13,0,7,-1.0,0.1,0.1,1.0,0.12730155067996143,0.99999999999,0.2546031013601775,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.8534276466984398,0.4462220493201758,0.8534276466984398,0.4462220493201758,1.0910880621768655,-0.31091856956481934
114,handwriting_train_136,9,0,6,1.0,0.1,0.1,1.0,0.10734346057000754,0.99999999999,0.2146869211402298,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,1.0158154115113107,0.44621235140798404,1.0158154115113107,0.44621235140798404,1.0976555414236961,1.7774336338043213
99,handwriting_train_137,21,0,6,-1.0,0.1,0.1,1.0,0.15759279965111217,0.99999999999,0.31518559930253953,line,whitened_pca,0.25,3.072051431861127,3.0720514318611216,0.2499999999999792,0.9999999999999999,1.0,0.7909634019390035,0.4461287628307505,0.7909634019390035,0.4461287628307505,1.0911477603106738,1.46124267578125
55,handwriting_train_138,6,0,8,1.0,0.1,0.1,0.9999999403953552,0.12533254186827783,0.99999999999,0.25066506879600303,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.9948301263293725,0.44616807874909975,0.9948301263293725,0.44616807874909975,1.1054825807725743,0.2091948390007019
31,handwriting_train_139,2,0,9,1.0,0.1,0.061956612504137046,0.9999999403953552,0.061956612504137046,0.6195661250351747,0.12391321762259425,line,whitened_pca,0.25,3.072051431861127,3.0720514318611283,0.24999999999997977,0.9999999999999999,1.0,0.9141051404140831,0.4462359202639776,0.9141051404140831,0.4462359202639776,1.0605813116639986,1.0639851093292236
73,handwriting_train_14,9,0,3,-1.0,0.1,0.0688914238633383,1.0,0.0688914238633383,0.6889142386264937,0.1377828477268144,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,0.7405868122530624,0.5754241492107279,0.7405868122530624,0.5754241492107279,1.0655814351435076,1.6551908254623413
34,handwriting_train_140,1,0,2,-1.0,0.1,0.1,0.9999999403953552,0.1338841852669647,0.99999999999,0.26776835457395853,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0000000000000002,1.0,1.0819768374053902,0.44620167557346363,1.0819768374053902,0.44620167557346363,1.1006955295248346,0.5377085208892822
62,handwriting_train_142,23,0,8,1.0,0.1,0.056594979827533747,0.9999999403953552,0.056594979827533747,0.565949798269678,0.11318995290853334,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0000000000000002,1.0,0.770403662289843,0.4462273825325761,0.770403662289843,0.4462273825325761,1.0577614828517834,0.2926003336906433
40,handwriting_train_143,25,0,3,-1.0,0.1,0.1,1.0,0.11230945407313266,0.99999999999,0.22461890814648994,line,whitened_pca,0.25,3.072051431861127,3.072051431861129,0.24999999999997982,1.0,1.0,0.7075575360653862,0.5753106894241496,0.7075575360653862,0.5753106894241496,1.097945029276262,1.2865180969238281
105,handwriting_train_144,14,0,3,1.0,0.1,0.05716775376089747,1.0,0.05716775376089747,0.5716775376032579,0.11433550752190928,line,whitened_pca,0.25,3.072051431861127,3.07205143186113,0.2499999999999799,1.0,1.0,0.5004370293298659,0.5754164508965726,0.5004370293298659,0.5754164508965726,1.0539930508789281,0.47956204414367676
86,handwriting_train_147,16,0,1,1.0,0.1,0.07086413568354506,1.0,0.07086413568354506,0.7086413568283642,0.14172827136723187,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.6312546371421975,0.5754282529657093,0.6312546371421975,0.5754282529657093,1.0593885888658119,0.17385971546173096
100,handwriting_train_148,12,0,3,-1.0,0.1,0.1,1.0,0.10213280783904821,0.99999999999,0.2042656156783007,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,1.0174397069995487,0.4461683843782273,1.0174397069995487,0.4461683843782273,1.097816374481577,0.5117088556289673
75,handwriting_train_149,15,0,2,1.0,0.1,0.1,0.9999999403953552,0.15911233575343361,0.99999999999,0.31822465253951693,line,whitened_pca,0.25,3.072051431861127,3.072051431861124,0.2499999999999794,1.0,1.0,1.0572818025919197,0.4461661007383246,1.0572818025919197,0.4461661007383246,1.1056412107160967,0.3493543267250061
27,handwriting_train_16,1,0,4,-1.0,0.1,0.06790688146502774,0.9999999403953552,0.06790688146502774,0.6790688146434867,0.1358137548350602,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,1.0,1.0,0.7091334244026193,0.4461119434464519,0.7091334244026193,0.4461119434464519,1.0667988979945122,1.5725483894348145
56,handwriting_train_18,15,0,1,-1.0,0.1,0.1,1.0,0.2015646663600583,0.99999999999,0.40312933272051976,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,1.136070446057893,0.4461392305511926,1.136070446057893,0.4461392305511926,1.0910637029824994,0.9791496396064758
30,handwriting_train_19,7,0,3,1.0,0.1,0.07341681845222722,1.0,0.07341681845222722,0.7341681845149305,0.1468336369046013,line,whitened_pca,0.25,3.072051431861127,3.0720514318611296,0.24999999999997988,1.0,1.0,0.6801866532149139,0.5753029946346069,0.6801866532149139,0.5753029946346069,1.0714645824686935,-0.2200363576412201
9,handwriting_train_2,21,0,6,-1.0,0.1,0.1,1.0,0.12300399197347434,0.99999999999,0.2460079839471947,line,whitened_pca,0.25,3.072051431861127,3.0720514318611265,0.24999999999997963,1.0,1.0,0.9293551372600852,0.5752773770707913,0.9293551372600852,0.5752773770707913,1.1003796723759416,0.7759244441986084
109,handwriting_train_20,0,0,0,-1.0,0.1,0.1,1.0,0.11877989016042381,0.99999999999,0.2375597803210852,line,whitened_pca,0.25,3.072051431861127,3.0720514318611287,0.2499999999999798,1.0000000000000002,1.0,0.8743742589963823,0.44622037147678084,0.8743742589963823,0.44622037147678084,1.067718154410785,-0.05778849124908447
51,handwriting_train_23,2,0,4,-1.0,0.1,0.07626428546895365,0.9999999403953552,0.07626428546895365,0.7626428546819101,0.15252856184664854,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.6361801767557602,0.4462263674305035,0.6361801767557602,0.4462263674305035,1.0747566050962845,1.0966742038726807
107,handwriting_train_24,21,0,3,-1.0,0.1,0.1,1.0,0.16033652350691788,0.99999999999,0.32067304701415644,line,whitened_pca,0.25,3.072051431861127,3.0720514318611314,0.24999999999998002,1.0,1.0,0.75908564051454,0.5752104405323994,0.75908564051454,0.5752104405323994,1.0986738304963297,0.7550661563873291
101,handwriting_train_25,1,0,2,1.0,0.1,0.07269726297342673,0.9999999403953552,0.07269726297342673,0.7269726297269975,0.14539451728080977,line,whitened_pca,0.25,3.072051431861127,3.072051431861128,0.24999999999997974,1.0,1.0,0.8989263974738391,0.4461898319837331,0.8989263974738391,0.4461898319837331,1.073511811225533,0.6948583722114563
71,handwriting_train_26,18,0,8,-1.0,0.1,0.1,0.9999999403953552,0.18063158859188816,0.99999999999,0.36126315565117423,line,whitened_pca,0.25,3.072051431861127,3.072051431861126,0.24999999999997957,1.0,1.0,1.1451063310241776,0.4461852454581015,1.1451063310241776,0.4461852454581015,1.1067171072413184,-0.27250227332115173
106,handwriting_train_27,3,0,8,-1.0,0.1,0.07626428546895365,0.9999999403953552,0.07626428546895365,0.7626428546819101,0.15252856184664854,line,whitened_pca,0.25,3.072051431861127,3.0720514318611274,0.24999999999997968,0.9999999999999999,1.0,0.6296869344019538,0.4462007559473097,0.6296869344019538,0.4462007559473097,1.0785784509725704,-0.18636220693588257
14,handwriting_train_28,7,0,1,1.0,0.1,0.1,1.0,0.15400045926808667,0.99999999999,0.30800091853648137,line,whitened_pca,0.25,3.072051431861127,3.0720514318611296,0.24999999999997988,1.0,1.0,1.0206724020565738,0.44613459417090234,1.0206724020565738,0.44613459417090234,1.088348234502819,-0.6776862144470215
70,handwriting_train_29,20,0,8,-1.0,0.1,0.06472692916626778,0.9999999403953552,0.06472692916626778,0.6472692916562051,0.12945385061661377,line,whitened_pca,0.25,3.072051431861127,3.072051431861127,0.24999999999997966,1.0,1.0,0.6243151074746478,0.5754104395298323,0.6243151074746478,0.5754104395298323,1.0667739716289144,0.8126412630081177
