anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight,margin_aug,feedback_weight
8,1,atrialfibrillation_train_4,0,0.13235249547070285,0.13235249547070285,0.4999999999981111,0.529409981883341,2,-1.0,8,mid,0.5,0.26470498860605207,0.13235249430302604,25,0.00011433567674565013,0.017496014444924674,1.0472005362197447,0.13347417414716864,-0.1576499342918396,1.0,0.9177049398422241,0.8587099313735962,-0.05899500846862793,-1.5267390012741089,0.17847129702568054,-1.5267390012741089,0.17847129702568054
8,2,atrialfibrillation_train_4,0,0.23823449184726514,0.23823449184726514,0.8999999999966001,0.529409981883341,2,-1.0,8,edge,0.9,0.26470498860605207,0.23823448974544686,26,0.00010522568246378057,0.017174411220935572,1.0865543383506227,0.22879812327359325,-0.15788736939430237,1.0,0.9177049398422241,0.8034330606460571,-0.11427187919616699,-1.8095358610153198,0.14069423079490662,-1.8095358610153198,0.14069423079490662
9,0,atrialfibrillation_train_13,2,0.24999999292524222,0.24999999292524222,0.24999999999974998,3.6649452583733537,5,1.0,9,small,0.25,1.0,0.25,27,0.00013769600303008763,0.007677035080177073,1.2474097422926034,0.32367341364271934,-0.0968046635389328,1.0,0.4768429696559906,0.570907473564148,0.09406450390815735,1.809649109840393,0.8593194484710693,1.809649109840393,0.8593194484710693
9,1,atrialfibrillation_train_13,2,0.49999998585048444,0.49999998585048444,0.49999999999949996,3.6649452583733537,5,1.0,9,mid,0.5,1.0,0.5,28,0.00016391902728857792,0.00786472829253175,1.5528043913544063,0.6832126736095558,-0.09468765556812286,1.0,0.4768429696559906,0.6970834136009216,0.22024044394493103,1.466326355934143,0.8124983310699463,1.466326355934143,0.8124983310699463
9,2,atrialfibrillation_train_13,2,0.899999974530872,0.899999974530872,0.8999999999991,3.6649452583733537,5,1.0,9,edge,0.9,1.0,0.9,29,0.00023487293137452778,0.008051019122596063,2.1932396377503403,1.3978382655618735,-0.09071521461009979,1.0,0.4768429696559906,0.9710685014724731,0.49422553181648254,0.8114405274391174,0.6924163699150085,0.8114405274391174,0.6924163699150085
10,0,atrialfibrillation_train_9,1,0.06185789188537485,0.06185789188537485,0.2499999999989896,0.4948631350834936,3,1.0,10,small,0.25,0.2474315707119254,0.06185789267798135,30,0.00012951348723345827,0.02533384514725005,1.0667194300705807,0.09380171646017865,0.08669298887252808,0.0,0.001568127772770822,0.0014385005924850702,-0.00012962718028575182,8.970130920410156,0.9998728036880493,8.970130920410156,0.9998728036880493
10,1,atrialfibrillation_train_9,1,0.1237157837707497,0.1237157837707497,0.4999999999979792,0.4948631350834936,3,1.0,10,mid,0.5,0.2474315707119254,0.1237157853559627,31,0.0001332317261011609,0.025178530740995693,1.137960875564385,0.19101777624121405,0.0859692245721817,0.0,0.001568127772770822,0.0013291313080117106,-0.0002389964647591114,9.062422752380371,0.9998840093612671,9.062422752380371,0.9998840093612671
10,2,atrialfibrillation_train_9,1,0.22268841078734947,0.22268841078734947,0.8999999999963626,0.4948631350834936,3,1.0,10,edge,0.9,0.2474315707119254,0.22268841364073286,32,0.0001422827714085428,0.024892961000564633,1.262070770217639,0.3554438291811389,0.08482543379068375,0.0,0.001568127772770822,0.0011835870100185275,-0.00038454076275229454,9.19888687133789,0.9998987913131714,9.19888687133789,0.9998987913131714
11,0,atrialfibrillation_train_8,1,0.14408621283177386,0.14408621283177386,0.24999999999956624,1.1526897026553438,4,-1.0,11,small,0.25,0.5763448506122228,0.1440862126530557,33,0.00012954328713380472,0.013216207619893816,1.1423287644603892,0.18790919969266884,0.07423803210258484,0.0,0.28623154759407043,0.20913630723953247,-0.07709524035453796,3.0560193061828613,0.9550417065620422,3.0560193061828613,0.9550417065620422
11,1,atrialfibrillation_train_8,1,0.2881724256635477,0.2881724256635477,0.49999999999913247,1.1526897026553438,4,-1.0,11,mid,0.5,0.5763448506122228,0.2881724253061114,34,0.00013767765108982849,0.01292971468105353,1.3055051658353283,0.37949114525235866,0.07444159686565399,0.0,0.28623154759407043,0.14673739671707153,-0.1394941508769989,3.5417613983154297,0.9718529582023621,3.5417613983154297,0.9718529582023621
11,2,atrialfibrillation_train_8,1,0.5187103661943859,0.5187103661943859,0.8999999999984385,1.1526897026553438,4,-1.0,11,edge,0.9,0.5763448506122228,0.5187103655510006,35,0.00016168900087938672,0.01238118260280285,1.6171712471301307,0.7075924178594147,0.074705109000206,0.0,0.28623154759407043,0.07902573049068451,-0.20720581710338593,4.344603538513184,0.9871895909309387,4.344603538513184,0.9871895909309387
