dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,warp_sigma,warp_knots,per_channel_curve,window_warp_ratio,window_warp_min_window_len,window_warp_speed_min,window_warp_speed_max,window_slice_ratio,window_slice_min_window_len,wdba_k,wdba_max_iter,wdba_tau,spawner_noise_scale
atrialfibrillation,3,raw_aug_window_warping,success,,0.16666666666666666,0.041666666666666664,-0.125,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.5555555555555555,30,0,0,0.8651050869957544,,,,0.1,4.0,0.5,2.0,,,,,,
atrialfibrillation,3,raw_aug_window_slicing,success,,0.16666666666666666,0.26495726495726496,0.0982905982905983,120,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,19,0,0,0.5304950379941147,,,,,,,,0.9,4.0,,,,
atrialfibrillation,3,wdba_sameclass,success,,0.16666666666666666,0.3119047619047619,0.14523809523809525,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,14,120,120,20.32797733298503,,,,,,,,,,5.0,5.0,5.451071620633777,
atrialfibrillation,3,spawner_sameclass_style,success,,0.16666666666666666,0.14814814814814814,-0.018518518518518517,120,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,15,0,0,1.435173231002409,,,,,,,,,,,,,0.05
ering,1,raw_aug_magnitude_warping,success,,0.5424850558740912,0.7901984308655973,0.24771337499150603,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.7777777777777777,30,0,0,0.9148639469931368,0.2,4.0,1.0,,,,,,,,,,
ering,1,raw_aug_window_warping,success,,0.5424850558740912,0.7996965470611824,0.2572114911870912,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.7777777777777777,30,0,0,0.7916393229970708,,,,0.1,4.0,0.5,2.0,,,,,,
ering,1,raw_aug_window_slicing,success,,0.5424850558740912,0.8493376003801671,0.3068525445060759,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.6666666666666666,15,0,0,0.3945725660014432,,,,,,,,0.9,4.0,,,,
ering,1,wdba_sameclass,success,,0.5424850558740912,0.6824783733543481,0.1399933174802569,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.7777777777777777,15,240,240,2.0963397650048137,,,,,,,,,,5.0,5.0,10.99836809663957,
ering,1,spawner_sameclass_style,success,,0.5424850558740912,0.824603412943797,0.2821183570697058,240,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.7777777777777777,28,0,0,1.093873784004245,,,,,,,,,,,,,0.05
ering,2,raw_aug_magnitude_warping,success,,0.848105426301868,0.8533032185206099,0.005197792218741837,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,19,0,0,0.6056720259948634,0.2,4.0,1.0,,,,,,,,,,
ering,2,raw_aug_window_warping,success,,0.848105426301868,0.7601649222670225,-0.08794050403484555,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,1.0,30,0,0,0.7950637199974153,,,,0.1,4.0,0.5,2.0,,,,,,
ering,2,raw_aug_window_slicing,success,,0.848105426301868,0.9161839435827522,0.06807851728088421,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,21,0,0,0.5458197350089904,,,,,,,,0.9,4.0,,,,
ering,2,wdba_sameclass,success,,0.848105426301868,0.7820445837687217,-0.06606084253314637,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,240,240,2.487479021976469,,,,,,,,,,5.0,5.0,11.326682745148547,
ering,2,spawner_sameclass_style,success,,0.848105426301868,0.7709429209429208,-0.0771625053589472,240,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,30,0,0,1.1617795309866779,,,,,,,,,,,,,0.05
ering,3,raw_aug_magnitude_warping,success,,0.8501737413578302,0.7409827476812353,-0.1091909936765949,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,27,0,0,0.8118128630158026,0.2,4.0,1.0,,,,,,,,,,
ering,3,raw_aug_window_warping,success,,0.8501737413578302,0.6331174777603349,-0.2170562635974953,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,1.0,21,0,0,0.5509378300048411,,,,0.1,4.0,0.5,2.0,,,,,,
ering,3,raw_aug_window_slicing,success,,0.8501737413578302,0.7044021366593691,-0.14577160469846107,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,20,0,0,0.5249084009847138,,,,,,,,0.9,4.0,,,,
ering,3,wdba_sameclass,success,,0.8501737413578302,0.8534047914877695,0.0032310501299392946,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,29,240,240,2.5098861930018757,,,,,,,,,,5.0,5.0,11.040286949023267,
ering,3,spawner_sameclass_style,success,,0.8501737413578302,0.854346596413166,0.004172855055335822,240,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,15,0,0,0.8068156740046106,,,,,,,,,,,,,0.05
handmovementdirection,1,raw_aug_magnitude_warping,success,,0.23844289670902574,0.3231582949570755,0.08471539824804974,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.4593137254901961,27,0,0,5.997369955992326,0.2,4.0,1.0,,,,,,,,,,
handmovementdirection,1,raw_aug_window_warping,success,,0.23844289670902574,0.3103511072261072,0.07190821051708146,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.4326388888888889,19,0,0,3.280732157989405,,,,0.1,4.0,0.5,2.0,,,,,,
handmovementdirection,1,raw_aug_window_slicing,success,,0.23844289670902574,0.2926601959402632,0.05421729923123747,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.5395833333333333,16,0,0,2.7060001240170095,,,,,,,,0.9,4.0,,,,
handmovementdirection,1,wdba_sameclass,success,,0.23844289670902574,0.3542478354978355,0.11580493878880976,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5208333333333334,29,0,0,64.74213037700974,,,,,,,,,,5.0,5.0,10071.54506849434,
handmovementdirection,1,spawner_sameclass_style,success,,0.23844289670902574,0.3598552009456265,0.12141230423660077,1280,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.45363408521303256,26,0,0,10.879065557994181,,,,,,,,,,,,,0.05
handmovementdirection,2,raw_aug_magnitude_warping,success,,0.2030680813439434,0.24432454443652651,0.0412564630925831,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.40043290043290036,30,0,0,6.3839016490092035,0.2,4.0,1.0,,,,,,,,,,
handmovementdirection,2,raw_aug_window_warping,success,,0.2030680813439434,0.22334903578835885,0.02028095444441544,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.5116666666666666,15,0,0,2.6069031240185723,,,,0.1,4.0,0.5,2.0,,,,,,
handmovementdirection,2,raw_aug_window_slicing,success,,0.2030680813439434,0.2616651464477551,0.05859706510381171,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.4991194843168527,30,0,0,4.842245667998213,,,,,,,,0.9,4.0,,,,
handmovementdirection,2,wdba_sameclass,success,,0.2030680813439434,0.3709514170040486,0.1678833356601052,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.44647705235940527,25,0,0,64.67520116298692,,,,,,,,,,5.0,5.0,10039.167318633898,
handmovementdirection,2,spawner_sameclass_style,success,,0.2030680813439434,0.34333020637898687,0.14026212503504346,1280,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.4602972599296129,30,0,0,11.482307839993155,,,,,,,,,,,,,0.05
handmovementdirection,3,raw_aug_magnitude_warping,success,,0.18756284565108094,0.2600267379679144,0.07246389231683348,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.3524199814522395,14,0,0,3.863862533995416,0.2,4.0,1.0,,,,,,,,,,
handmovementdirection,3,raw_aug_window_warping,success,,0.18756284565108094,0.3875690513537476,0.20000620570266664,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.37880116959064325,18,0,0,3.0512110209965613,,,,0.1,4.0,0.5,2.0,,,,,,
handmovementdirection,3,raw_aug_window_slicing,success,,0.18756284565108094,0.28947811107970983,0.10191526542862889,1280,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.3977272727272727,30,0,0,4.879626870009815,,,,,,,,0.9,4.0,,,,
handmovementdirection,3,wdba_sameclass,success,,0.18756284565108094,0.3830166124420783,0.19545376679099735,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5087542087542087,20,0,0,63.31667042800109,,,,,,,,,,5.0,5.0,10002.820101026224,
handmovementdirection,3,spawner_sameclass_style,success,,0.18756284565108094,0.3336038082873526,0.14604096263627164,1280,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.3589048378522063,12,0,0,8.697555894992547,,,,,,,,,,,,,0.05
handwriting,1,raw_aug_magnitude_warping,success,,0.382737297846506,0.4587755737877377,0.07603827594123169,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.3853333333333333,14,0,0,1.7836680929758586,0.2,4.0,1.0,,,,,,,,,,
handwriting,1,raw_aug_window_warping,success,,0.382737297846506,0.5098466048534529,0.1271093070069469,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.42133333333333334,18,0,0,1.7451779429975431,,,,0.1,4.0,0.5,2.0,,,,,,
handwriting,1,raw_aug_window_slicing,success,,0.382737297846506,0.482259273712248,0.09952197586574202,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.4053333333333333,18,0,0,1.69916151301004,,,,,,,,0.9,4.0,,,,
handwriting,1,wdba_sameclass,success,,0.382737297846506,0.44562886642086225,0.06289156857435624,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.31527777777777777,22,400,400,21.295515734003857,,,,,,,,,,5.0,5.0,18.542979463852216,
handwriting,1,spawner_sameclass_style,success,,0.382737297846506,0.4555811728373162,0.07284387499081019,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.3958333333333333,18,0,0,5.92263390601147,,,,,,,,,,,,,0.05
handwriting,2,raw_aug_magnitude_warping,success,,0.4136709560472157,0.4502763845796156,0.0366054285323999,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.4930555555555555,30,0,0,3.24236112498329,0.2,4.0,1.0,,,,,,,,,,
handwriting,2,raw_aug_window_warping,success,,0.4136709560472157,0.46242356761701997,0.04875261156980426,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.45,28,0,0,2.6570827050018124,,,,0.1,4.0,0.5,2.0,,,,,,
handwriting,2,raw_aug_window_slicing,success,,0.4136709560472157,0.4597857245252922,0.046114768478076495,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.3363095238095238,16,0,0,1.5156110099924263,,,,,,,,0.9,4.0,,,,
handwriting,2,wdba_sameclass,success,,0.4136709560472157,0.36585997396394165,-0.047810982083274056,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.45555555555555555,18,400,400,20.664712695986964,,,,,,,,,,5.0,5.0,19.20844606904073,
handwriting,2,spawner_sameclass_style,success,,0.4136709560472157,0.42882647279210906,0.01515551674489335,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.4847222222222222,17,0,0,5.770270621986128,,,,,,,,,,,,,0.05
handwriting,3,raw_aug_magnitude_warping,success,,0.4038917991696072,0.42995433842596686,0.02606253925635965,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.3611111111111111,18,0,0,2.286584307992598,0.2,4.0,1.0,,,,,,,,,,
handwriting,3,raw_aug_window_warping,success,,0.4038917991696072,0.47486399692131687,0.07097219775170965,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.3888888888888889,26,0,0,2.69880597901647,,,,0.1,4.0,0.5,2.0,,,,,,
handwriting,3,raw_aug_window_slicing,success,,0.4038917991696072,0.45556013140275115,0.05166833223314393,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.40972222222222215,18,0,0,1.8612838450062554,,,,,,,,0.9,4.0,,,,
handwriting,3,wdba_sameclass,success,,0.4038917991696072,0.39833152029567687,-0.005560278873930347,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.34722222222222215,30,400,400,21.953796640009386,,,,,,,,,,5.0,5.0,18.88366672603484,
handwriting,3,spawner_sameclass_style,success,,0.4038917991696072,0.45156311798173443,0.04767131881212722,1200,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.30277777777777776,24,0,0,6.478933759994106,,,,,,,,,,,,,0.05
japanesevowels,1,raw_aug_magnitude_warping,success,,0.9561456014766324,0.9758710110183313,0.01972540954169888,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.9813519813519815,30,0,0,8.344488625007216,0.2,4.0,1.0,,,,,,,,,,
japanesevowels,1,raw_aug_window_warping,success,,0.9561456014766324,0.9619473693836444,0.005801767907012034,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9628334628334628,19,0,0,3.4216815269901417,,,,0.1,4.0,0.5,2.0,,,,,,
japanesevowels,1,raw_aug_window_slicing,success,,0.9561456014766324,0.9802031590527628,0.024057557576130373,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.9627039627039627,15,0,0,2.672229301999323,,,,,,,,0.9,4.0,,,,
japanesevowels,1,wdba_sameclass,success,,0.9561456014766324,0.9660935593023928,0.009947957825760412,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9627039627039627,15,0,0,16.04099405099987,,,,,,,,,,5.0,5.0,2.521020860039065,
japanesevowels,1,spawner_sameclass_style,success,,0.9561456014766324,0.9815845948660411,0.025438993389408693,2160,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.9628334628334628,30,0,0,7.725804396002786,,,,,,,,,,,,,0.05
japanesevowels,2,raw_aug_magnitude_warping,success,,0.9741476029508114,0.976262053631805,0.002114450680993585,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,30,0,0,8.014305152988527,0.2,4.0,1.0,,,,,,,,,,
japanesevowels,2,raw_aug_window_warping,success,,0.9741476029508114,0.9811735283596161,0.007025925408804756,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,1.0,30,0,0,5.269924424006604,,,,0.1,4.0,0.5,2.0,,,,,,
japanesevowels,2,raw_aug_window_slicing,success,,0.9741476029508114,0.9676180029121206,-0.006529600038690742,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,25,0,0,4.1473606470099185,,,,,,,,0.9,4.0,,,,
japanesevowels,2,wdba_sameclass,success,,0.9741476029508114,0.978029905954106,0.003882303003294618,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,18.442129864997696,,,,,,,,,,5.0,5.0,2.571520915083758,
japanesevowels,2,spawner_sameclass_style,success,,0.9741476029508114,0.986256805879871,0.012109202929059593,2160,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,30,0,0,7.778052888985258,,,,,,,,,,,,,0.05
japanesevowels,3,raw_aug_magnitude_warping,success,,0.9681596726696929,0.9736510516594312,0.0054913789897382825,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,30,0,0,8.034123674995499,0.2,4.0,1.0,,,,,,,,,,
japanesevowels,3,raw_aug_window_warping,success,,0.9681596726696929,0.9798514190697362,0.011691746400043224,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,1.0,25,0,0,4.272054061002564,,,,0.1,4.0,0.5,2.0,,,,,,
japanesevowels,3,raw_aug_window_slicing,success,,0.9681596726696929,0.9864973831167205,0.01833771044702759,2160,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,30,0,0,4.9576067390153185,,,,,,,,0.9,4.0,,,,
japanesevowels,3,wdba_sameclass,success,,0.9681596726696929,0.9804414285788327,0.012281755909139713,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,26,0,0,17.9714351669827,,,,,,,,,,5.0,5.0,2.5399708299206387,
japanesevowels,3,spawner_sameclass_style,success,,0.9681596726696929,0.9766455118512654,0.008485839181572419,2160,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,26,0,0,7.486704252980417,,,,,,,,,,,,,0.05
natops,1,raw_aug_magnitude_warping,success,,0.9373000436629222,0.9314731020613373,-0.005826941601584923,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.9720279720279721,29,0,0,7.665256670006784,0.2,4.0,1.0,,,,,,,,,,
natops,1,raw_aug_window_warping,success,,0.9373000436629222,0.930574307360998,-0.00672573630192419,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9720279720279721,30,0,0,3.8620479329838417,,,,0.1,4.0,0.5,2.0,,,,,,
natops,1,raw_aug_window_slicing,success,,0.9373000436629222,0.9833287024173382,0.046028658754415974,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.972027972027972,30,0,0,3.765215352002997,,,,,,,,0.9,4.0,,,,
natops,1,wdba_sameclass,success,,0.9373000436629222,0.9604306383507204,0.02313059468779821,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,29,0,0,8.509468092990573,,,,,,,,,,5.0,5.0,11.578942162904728,
natops,1,spawner_sameclass_style,success,,0.9373000436629222,0.9494465937450712,0.012146550082149044,1440,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.972027972027972,30,0,0,4.6419159439974464,,,,,,,,,,,,,0.05
natops,2,raw_aug_magnitude_warping,success,,0.9070392331641024,0.9437133475178635,0.03667411435376111,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,1.0,22,0,0,6.554019436996896,0.2,4.0,1.0,,,,,,,,,,
natops,2,raw_aug_window_warping,success,,0.9070392331641024,0.930574307360998,0.0235350741968956,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9720279720279721,12,0,0,1.5692243369994685,,,,0.1,4.0,0.5,2.0,,,,,,
natops,2,raw_aug_window_slicing,success,,0.9070392331641024,0.9283964575089504,0.02135722434484799,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,1.0,30,0,0,3.4439338140073232,,,,,,,,0.9,4.0,,,,
natops,2,wdba_sameclass,success,,0.9070392331641024,0.9387630329108326,0.03172379974673023,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,13,0,0,6.410875500005204,,,,,,,,,,5.0,5.0,11.561992780484731,
natops,2,spawner_sameclass_style,success,,0.9070392331641024,0.9721959597601731,0.06515672659607075,1440,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,1.0,13,0,0,2.680518851004308,,,,,,,,,,,,,0.05
natops,3,raw_aug_magnitude_warping,success,,0.9205883200225039,0.9609617450696207,0.04037342504711683,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.972027972027972,30,0,0,7.371394566987874,0.2,4.0,1.0,,,,,,,,,,
natops,3,raw_aug_window_warping,success,,0.9205883200225039,0.9604306383507204,0.0398423183282165,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.972027972027972,30,0,0,3.8952057790011168,,,,0.1,4.0,0.5,2.0,,,,,,
natops,3,raw_aug_window_slicing,success,,0.9205883200225039,0.9661831034781855,0.045594783455681576,1440,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_slicing,0.972027972027972,30,0,0,3.70803553800215,,,,,,,,0.9,4.0,,,,
natops,3,wdba_sameclass,success,,0.9205883200225039,0.9422418566904924,0.021653536667988527,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,26,0,0,8.181202634994406,,,,,,,,,,5.0,5.0,11.490804832062672,
natops,3,spawner_sameclass_style,success,,0.9205883200225039,0.9496493966129426,0.02906107659043866,1440,10.0,10.0,dtw_pattern_mix,hard,resnet1d,True,True,tslearn,True,spawner_style_same_class_dtw_aligned_average,0.9458874458874459,13,0,0,2.792227894999087,,,,,,,,,,,,,0.05
racketsports,1,raw_aug_magnitude_warping,success,,0.8656212251404092,0.8780965202982601,0.012475295157850952,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_magnitude_warping,0.9705882352941176,30,0,0,3.921890543977497,0.2,4.0,1.0,,,,,,,,,,
racketsports,1,raw_aug_window_warping,success,,0.8656212251404092,0.9216412490922294,0.056020023951820264,1200,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_window_warping,0.9705882352941176,30,0,0,3.126196005992824,,,,0.1,4.0,0.5,2.0,,,,,,
