dataset,seed,class_id,prototype_id,trial_id,window_index,opp_class_id,opp_prototype_id,same_dist,opp_dist,epsilon_local,margin_before,margin_after,margin_gain,orig_local_step,shaped_local_step,local_step_distortion_ratio
selfregulationscp1,1,1,3,selfregulationscp1_train_n00260,680,0,0,0.6609842467898656,0.5469932209830419,0.05469932209830419,-0.11399102580682363,-0.035474051945660556,0.07851697386116308,0.03156373543696535,0.0642895191328852,2.0368159295111057
selfregulationscp1,1,1,3,selfregulationscp1_train_n00136,354,0,0,0.6991506848297319,0.5862868272992434,0.058628682729924345,-0.11286385753048844,-0.03471357534730679,0.07815028218318165,0.02633419855783361,0.08377978766960935,3.1814063938804567
selfregulationscp1,1,1,3,selfregulationscp1_train_n00260,687,0,0,0.6630019071986482,0.55044204421977,0.05504420442197701,-0.1125598629788781,-0.03394431190483704,0.07861555107404106,0.22664754296370604,0.2514916390751682,1.109615554559268
selfregulationscp1,1,1,3,selfregulationscp1_train_n00260,685,0,0,0.6657720347067407,0.5539853987272279,0.055398539872722787,-0.11178663597951288,-0.0331373036563678,0.07864933232314508,0.025673993313455816,0.05979730976466422,2.329100464995614
selfregulationscp1,1,1,3,selfregulationscp1_train_n00136,464,0,0,0.7502735422698785,0.6387091156479676,0.06387091156479677,-0.1115644266219109,-0.03404289703788521,0.0775215295840257,0.05860905292070501,0.08785731948334431,1.4990400817807223
selfregulationscp1,1,1,3,selfregulationscp1_train_n00260,681,0,0,0.6628879882958901,0.5519699820444484,0.05519699820444484,-0.11091800625144177,-0.03216287972525411,0.07875512652618766,0.028639530605513847,0.044055676645601366,1.538282077748841
selfregulationscp1,1,1,3,selfregulationscp1_train_n00260,686,0,0,0.6642302746135119,0.5535901501331397,0.05535901501331397,-0.11064012448037219,-0.03187687016850205,0.07876325431187015,0.03021469841151583,0.029095421926874167,0.9629558942009804
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,413,1,0,0.6217796368820129,0.5136635029121571,0.051366350291215716,-0.10811613396985575,-0.10657957598105405,0.0015365579888017011,0.04165152173542372,0.0646318930461257,1.551729453168038
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,412,1,0,0.6255496112935142,0.5178507240601559,0.05178507240601559,-0.1076988872333583,-0.10614946327087998,0.0015494239624783135,0.0401144347920971,0.05262323647436262,1.3118279429112103
selfregulationscp1,1,0,0,selfregulationscp1_train_n00074,419,1,0,0.5913754057785214,0.4837601150855301,0.04837601150855301,-0.10761529069299136,-0.10599406356264551,0.001621227130345848,0.04200740654367921,0.06295215506660361,1.4985965629929117
