dataset,seed,arm,status,pipeline,mba_candidate_mode,feedback_margin_polarity,base_f1,act_f1,gain,candidate_total_count,aug_total_count,step_tier_count,feedback_weight_mean,feedback_reject_frac,last_aug_margin_mean,transport_error_logeuc_mean,candidate_audit_csv,tier_summary_csv,ray_summary_csv,E_w_small,E_w_mid,E_w_edge,admission_small,admission_mid,admission_edge,tier_margin_mean_small,tier_margin_mean_mid,tier_margin_mean_edge,tier_transport_error_logeuc_mean_small,tier_transport_error_logeuc_mean_mid,tier_transport_error_logeuc_mean_edge,tier_alignment_cosine_mean_small,tier_alignment_cosine_mean_mid,tier_alignment_cosine_mean_edge,alignment_small_mean,alignment_mid_mean,alignment_edge_mean
atrialfibrillation,1,mba,success,mba,core,easy,0.27314814814814814,0.26666666666666666,-0.006481481481481477,12,12,0,0.0,0.0,0.0,0.026905951298606,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,1,mba_feedback_easy,success,mba_feedback,core,easy,0.21645021645021645,0.27777777777777773,0.061327561327561286,12,12,0,0.6193991303443909,0.4166666666666667,3.90451717376709,0.027279720041961598,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,1,mba_wide,success,mba,step_tiers,easy,0.21645021645021645,0.14035087719298245,-0.076099339257234,36,36,3,0.0,0.0,0.0,0.026379202148035685,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s1_ray_summary.csv,0.6061843708933642,0.5988729170057923,0.5811654648665959,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9295089344183604,0.9357844293117523,0.8650600264469782,0.026808749285994707,0.02648845057388546,0.025840406584226885,-0.00883854522059361,-0.0084077970435222,-0.007636077236384153,-0.00883854522059361,-0.0084077970435222,-0.007636077236384153
atrialfibrillation,1,mba_wide_feedback_easy,success,mba_feedback,step_tiers,easy,0.21645021645021645,0.26666666666666666,0.050216450216450215,36,36,3,0.7733265161514282,0.25,4.773922920227051,0.027733345774872055,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s1_ray_summary.csv,0.5642048428995315,0.5625456617618813,0.5594036806006835,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0957589137057464,1.0871659636497497,1.0564607458603053,0.027442578873215804,0.02773177567705289,0.02802568277434748,0.03136669471859932,0.03115566020521025,0.03084910529044767,0.03136669471859932,0.03115566020521025,0.03084910529044767
atrialfibrillation,1,mba_wide_feedback_hard,success,mba_feedback,step_tiers,hard,0.21645021645021645,0.16666666666666666,-0.04978354978354979,36,36,3,0.11514458060264587,1.0,2.612313985824585,0.026889300754661446,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s1_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s1_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s1_ray_summary.csv,0.38410188353833896,0.38361536424975684,0.3838092425029673,0.0,0.08333333333333333,0.08333333333333333,0.7291406385704047,0.7291853961327838,0.7222319110503627,0.02705252033548972,0.02696011581989745,0.02665526610859716,-0.00577702303417027,-0.005461818150555094,-0.00482561532407999,-0.00577702303417027,-0.005461818150555094,-0.00482561532407999
atrialfibrillation,2,mba,success,mba,core,easy,0.3988095238095238,0.32051282051282054,-0.07829670329670324,12,12,0,0.0,0.0,0.0,0.03331148886503933,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,2,mba_feedback_easy,success,mba_feedback,core,easy,0.32051282051282054,0.26406926406926406,-0.056443556443556475,12,12,0,0.6664554476737976,0.3333333333333333,3.7790534496307373,0.03290826410666857,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,2,mba_wide,success,mba,step_tiers,easy,0.26666666666666666,0.3246753246753247,0.05800865800865801,36,36,3,0.0,0.0,0.0,0.03264096065802833,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide/atrialfibrillation/audit/atrialfibrillation_s2_ray_summary.csv,0.4962025061637784,0.4786669289654431,0.45848295926892507,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0123605330785115,0.8112873832384745,0.5207439909378687,0.03306064030454515,0.03278404333705081,0.032078198332489045,-0.06574635312426835,-0.06451854629752536,-0.06251501373481005,-0.06574635312426835,-0.06451854629752536,-0.06251501373481005
atrialfibrillation,2,mba_wide_feedback_easy,success,mba_feedback,step_tiers,easy,0.32051282051282054,0.26406926406926406,-0.056443556443556475,36,36,3,0.41666650772094727,0.5833333333333334,-5.8490986824035645,0.03411324671432416,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_easy/atrialfibrillation/audit/atrialfibrillation_s2_ray_summary.csv,0.49494515776122056,0.4948458197030334,0.49373661413602915,0.5833333333333334,0.5833333333333334,0.5833333333333334,-0.21918197117435426,-0.22070261668155208,-0.2519741857333833,0.03368854996211275,0.0340838866476767,0.03456730353318304,-0.0052619878357897205,-0.003972064044016103,-0.001958064443897456,-0.0052619878357897205,-0.003972064044016103,-0.001958064443897456
atrialfibrillation,2,mba_wide_feedback_hard,success,mba_feedback,step_tiers,hard,0.32051282051282054,0.26666666666666666,-0.05384615384615388,36,36,3,0.13040512800216675,1.0,2.9663281440734863,0.03221523574107696,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s2_widened_candidates.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s2_tier_summary.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/mba_step_tier_widening_v1/mba_wide_feedback_hard/atrialfibrillation/audit/atrialfibrillation_s2_ray_summary.csv,0.4204012803580957,0.4198808383762905,0.41960065466672763,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5400260488386266,0.5507354811286657,0.562811335891537,0.03283730601472269,0.0323744347640496,0.031433966444458596,0.057305108134945236,0.05877211938301722,0.06110554623107115,0.057305108134945236,0.05877211938301722,0.06110554623107115
atrialfibrillation,3,mba,success,mba,core,easy,0.24338624338624337,0.3116883116883117,0.06830206830206831,12,12,0,0.0,0.0,0.0,0.032670034939139454,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,3,mba_feedback_easy,success,mba_feedback,core,easy,0.16666666666666666,0.3722943722943723,0.20562770562770563,12,12,0,0.3333333432674408,0.6666666666666666,-6.631001949310303,0.032180314967634065,,,,,,,,,,,,,,,,,,,,,
