dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,diffusionts_max_epochs,target_aug_ratio,timevqvae_vqvae_epochs,timevqvae_maskgit_epochs
natops,2,random_cov_state,success,,0.9070392331641024,0.9665552053092652,0.0595159721451629,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,5.204205402056687,2.914525225864006,,,,,,
natops,2,pca_cov_state,success,,0.9070392331641024,0.9265130465331672,0.0194738133690647,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.972027972027972,21,0,0,4.3479629380162805,2.915079182820941,10.0,0.7687193155288696,,,,
natops,3,random_cov_state,success,,0.920588320022504,0.9442145349933976,0.0236262149708936,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.972027972027972,30,0,0,4.549590845941566,2.9214074390603595,,,,,,
natops,3,pca_cov_state,success,,0.920588320022504,0.9551570418780396,0.0345687218555357,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.972027972027972,30,0,0,5.001102132955566,2.921629068202888,10.0,0.7715585231781006,,,,
racketsports,1,random_cov_state,success,,0.8656212251404092,0.8852757165720937,0.0196544914316845,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9409722222222222,30,0,0,4.165011939010583,0.0001210470709104,,,,,,
racketsports,1,pca_cov_state,success,,0.8656212251404092,0.8644622412228047,-0.0011589839176044,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9409722222222222,30,0,0,3.795262633007951,0.0001210421578135,10.0,0.8398932814598083,,,,
racketsports,2,random_cov_state,success,,0.8588293650793651,0.8722502514351462,0.013420886355781,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.973977615009062,0.0001339570574274,,,,,,
racketsports,2,pca_cov_state,success,,0.8588293650793651,0.872829417773238,0.0140000526938728,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9081453634085211,14,0,0,1.9255426509771496,0.0001339638195044,10.0,0.8395488262176514,,,,
racketsports,3,random_cov_state,success,,0.8843719087962982,0.8963906898179199,0.0120187810216216,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9105263157894736,30,0,0,3.751443712040782,0.0001230326079869,,,,,,
racketsports,3,pca_cov_state,success,,0.8843719087962982,0.9023612261806132,0.0179893173843148,1200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9105263157894736,30,0,0,3.797370390035212,0.0001230060479383,10.0,0.8435896039009094,,,,
