anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
74,0,natops_train_11,0,0.2500000004675457,0.2500000004675457,0.24999999999974998,5.004781869480009,7,1.0,74,small,0.25,1.0,0.25,222,0.0004715104172027185,4.50777199330895,1.84171039503192,1.1349505715454788,0.8920153975486755,5.2939775503344,18,-0.12063875049352646,1.0,0.5018792748451233,0.509649395942688,0.007770121097564697,3.2639882564544678,0.9631725549697876
74,1,natops_train_11,0,0.5000000009350914,0.5000000009350914,0.49999999999949996,5.004781869480009,7,1.0,74,mid,0.5,1.0,0.5,223,0.000574196103716349,4.465058751359621,3.2355921178545626,2.702211584970923,0.9221264507089343,6.6395207952175825,14,-0.12009230256080627,1.0,0.5018792748451233,0.5179159045219421,0.016036629676818848,3.2306976318359375,0.961973249912262
74,2,natops_train_11,0,0.9000000016831647,0.9000000016831647,0.8999999999991,5.004781869480009,7,1.0,74,edge,0.9,1.0,0.9,224,0.0009440674325304862,4.394721473377346,6.930962012581392,6.718938986951845,0.935190675350336,6.1791828114252825,13,-0.11919467151165009,1.0,0.5018792748451233,0.5322377681732178,0.030358493328094482,3.1746175289154053,0.9598678946495056
75,0,natops_train_48,0,0.24999999895611555,0.24999999895611555,0.24999999999974998,5.125926047346305,5,1.0,75,small,0.25,1.0,0.25,225,0.00045979148867432467,4.420656605458791,1.7431060599812946,0.9668476472299408,0.9211570580800374,6.823802245656649,15,-0.22954434156417847,1.0,0.3389877378940582,0.35253578424453735,0.013548046350479126,3.2464756965637207,0.9625462889671326
75,1,natops_train_48,0,0.4999999979122311,0.4999999979122311,0.49999999999949996,5.125926047346305,5,1.0,75,mid,0.5,1.0,0.5,226,0.0005289068939944485,4.407867094022757,2.9360185256862956,2.175252284657979,0.9221709330876668,7.111110895872116,15,-0.22831955552101135,1.0,0.3389877378940582,0.36623746156692505,0.02724972367286682,3.1731717586517334,0.9598121047019958
75,2,natops_train_48,0,0.8999999962420161,0.8999999962420161,0.8999999999991,5.125926047346305,5,1.0,75,edge,0.9,1.0,0.9,227,0.0007723400976585301,4.384421159778178,6.035599698876233,5.020904982593367,0.8743164518049785,6.042139792016575,14,-0.22624723613262177,1.0,0.3389877378940582,0.3895401954650879,0.05055245757102966,3.054511308670044,0.9549769163131714
76,0,natops_train_82,1,0.24999999895611555,0.24999999895611555,0.24999999999974998,3.4038035845992956,5,1.0,76,small,0.25,1.0,0.25,228,0.0004735056161198479,5.235113439675985,2.097115653385464,1.2753232450718492,0.6660243961960077,1.6655856498650141,14,-0.011210533790290356,1.0,1.121086597442627,1.119330644607544,-0.0017559528350830078,-0.011708259582519531,0.4970729947090149
76,1,natops_train_82,1,0.4999999979122311,0.4999999979122311,0.49999999999949996,3.4038035845992956,5,1.0,76,mid,0.5,1.0,0.5,229,0.000605171367306879,5.232705659660443,4.059747530298021,3.2224107927188954,0.49291470712826896,0.31474103840688866,12,-0.011905808933079243,1.0,1.121086597442627,1.1177241802215576,-0.003362417221069336,-0.0191347599029541,0.495216429233551
76,2,natops_train_82,1,0.8999999962420161,0.8999999962420161,0.8999999999991,3.4038035845992956,5,1.0,76,edge,0.9,1.0,0.9,230,0.0011033467200053976,5.226764543007018,9.447679562583446,8.455503696565348,0.7214330940540614,2.1559749176459655,14,-0.013027079403400421,1.0,1.121086597442627,1.115500569343567,-0.005586028099060059,-0.03135490417480469,0.49216189980506897
77,0,natops_train_121,0,0.24999999963819822,0.24999999963819822,0.24999999999974998,5.257718584527003,6,1.0,77,small,0.25,1.0,0.25,231,0.0004783442180678576,3.948926892015234,1.9040711715274632,1.2029662734471815,0.9290694259107113,7.020073935389519,16,0.040618352591991425,0.0,0.36947131156921387,0.3672337532043457,-0.002237558364868164,3.5677995681762695,0.972556471824646
